train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.05890804597701149,0.36607142857142855,0.10148514851485148,112,0.2857142857142857,0.3188405797101449,0.3013698630136986,69,0.26744186046511625,0.24468085106382978,0.25555555555555554,94
1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.002188183807439825,0.1,0.004282655246252677,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9733333333333334,0.428068803752932,0.5946239478685854,5116,0.916,0.441233140655106,0.5955786736020806,519,0.8992805755395683,0.4472271914132379,0.5973715651135005,559
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.003898635477582846,0.08,0.007434944237918216,25,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14833259979933824,0.1391628903320515,0.10111809940965825,5286,0.1716734693877551,0.1085819600521787,0.1281355052308256,588,0.16667463371495495,0.09884400606815254,0.12184673152415086,653
weighted avg,0.9433053847986848,0.4228149829738933,0.5777022286493038,5286,0.8420379008746356,0.4268707482993197,0.56105417031875,588,0.8083267635686671,0.41807044410413474,0.5481668102919893,653
0.0,0.2859195402298851,0.36446886446886445,0.32045088566827695,546,0.24675324675324675,0.3114754098360656,0.2753623188405797,61,0.29069767441860467,0.29069767441860467,0.29069767441860467,86
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.010101010101010102,0.6666666666666666,0.019900497512437814,6,0.0,0.0,0.0,2,0.0,0.0,0.0,0
3.0,0.037199124726477024,0.3333333333333333,0.06692913385826771,102,0.0196078431372549,0.5,0.03773584905660377,4,0.008849557522123894,0.3333333333333333,0.017241379310344827,3
4.0,0.9324444444444444,0.45777874754527603,0.6140787355480756,4583,0.904,0.4362934362934363,0.5885416666666666,518,0.8920863309352518,0.44364937388193204,0.5925925925925927,559
5.0,0.02,0.32,0.03764705882352941,25,0.0,0.0,0.0,0,0.0,0.0,0.0,1
6.0,0.009746588693957114,0.20833333333333334,0.018621973929236497,24,0.0,0.0,0.0,3,0.015625,0.25,0.029411764705882353,4
macro avg,0.18505867259939626,0.33579727790678193,0.15394689790568913,5286,0.1671944414129288,0.17825269230421453,0.12880569065197858,588,0.1724655089822829,0.1882400545191243,0.1328490587182035,653
weighted avg,0.8388372668872054,0.4441922058267121,0.5670872695942523,5286,0.822112890177716,0.4200680272108844,0.5473003880592434,588,0.8020908233772926,0.4211332312404288,0.5458325121837885,653
0.0,0.5962643678160919,0.5006031363088058,0.5442622950819672,829,0.3246753246753247,0.26881720430107525,0.29411764705882354,93,0.36046511627906974,0.2605042016806723,0.30243902439024395,119
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.13131313131313133,0.4482758620689655,0.20312500000000003,116,0.022727272727272728,0.2,0.04081632653061225,5,0.04081632653061224,0.2222222222222222,0.06896551724137931,9
3.0,0.2724288840262582,0.5209205020920502,0.35775862068965514,478,0.2549019607843137,0.2857142857142857,0.26943005181347146,91,0.20353982300884957,0.22330097087378642,0.212962962962963,103
4.0,0.8848888888888888,0.5713055954088953,0.6943330427201395,3485,0.668,0.45135135135135135,0.5387096774193549,370,0.658273381294964,0.4704370179948586,0.5487256371814093,389
5.0,0.19,0.4021164021164021,0.2580645161290323,189,0.022222222222222223,0.1111111111111111,0.037037037037037035,9,0.04081632653061224,0.125,0.061538461538461535,16
6.0,0.17738791423001948,0.48148148148148145,0.25925925925925924,189,0.05263157894736842,0.15,0.0779220779220779,20,0.03125,0.11764705882352941,0.04938271604938271,17
macro avg,0.32175474089634143,0.4178147113538001,0.3309718191257219,5286,0.19216547990807167,0.20957056463968907,0.17971897396876815,588,0.19073728194915826,0.20273021022786697,0.1777163313376914,653
weighted avg,0.7175615936972506,0.5437003405221339,0.5984278113395155,5286,0.5134645434842883,0.3792517006802721,0.43076447799504386,588,0.49231233398794355,0.3721286370597244,0.4193330982600609,653
0.0,0.7255747126436781,0.608433734939759,0.6618610747051114,830,0.2727272727272727,0.2916666666666667,0.28187919463087246,72,0.26744186046511625,0.2804878048780488,0.2738095238095238,82
1.0,0.008547008547008548,0.5,0.016806722689075633,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.2777777777777778,0.5641025641025641,0.37225042301184436,195,0.09090909090909091,0.12903225806451613,0.10666666666666667,31,0.04081632653061224,0.043478260869565216,0.042105263157894736,46
3.0,0.5098468271334792,0.6340136054421769,0.5651910248635537,735,0.37254901960784315,0.2585034013605442,0.3052208835341365,147,0.3008849557522124,0.21935483870967742,0.2537313432835821,155
4.0,0.8924444444444445,0.6974643973601945,0.7829986352115422,2879,0.528,0.4852941176470588,0.5057471264367815,272,0.4712230215827338,0.445578231292517,0.4580419580419581,294
5.0,0.32,0.49230769230769234,0.3878787878787878,260,0.044444444444444446,0.10526315789473684,0.0625,19,0.04081632653061224,0.1,0.05797101449275362,20
6.0,0.41130604288499023,0.548051948051948,0.4699331848552338,385,0.05263157894736842,0.06382978723404255,0.05769230769230769,47,0.125,0.14285714285714285,0.13333333333333333,56
macro avg,0.44935668763305403,0.5777677060291907,0.4652742647450213,5286,0.19446591523371712,0.1905127698382236,0.18852945413725214,588,0.178026070123041,0.1759651826581359,0.17414177658843508,653
weighted avg,0.726834765831895,0.6486946651532349,0.6760136914499475,5286,0.38121323127868906,0.3401360544217687,0.357026692877467,588,0.33200742204605915,0.30627871362940273,0.31701072570820327,653
0.0,0.8189655172413793,0.7187894073139974,0.7656145063801209,793,0.3246753246753247,0.2717391304347826,0.2958579881656805,92,0.32558139534883723,0.27722772277227725,0.29946524064171126,101
1.0,0.02564102564102564,1.0,0.05,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.40404040404040403,0.5947955390334573,0.48120300751879697,269,0.045454545454545456,0.06666666666666667,0.05405405405405406,30,0.061224489795918366,0.07317073170731707,0.06666666666666667,41
3.0,0.6925601750547046,0.7326388888888888,0.7120359955005625,864,0.45098039215686275,0.22330097087378642,0.2987012987012987,206,0.35398230088495575,0.18867924528301888,0.24615384615384614,212
4.0,0.9137777777777778,0.8009349435138293,0.8536433464812123,2567,0.336,0.45161290322580644,0.38532110091743116,186,0.29136690647482016,0.405,0.33891213389121344,200
5.0,0.47,0.6103896103896104,0.5310734463276836,308,0.1111111111111111,0.14285714285714285,0.125,35,0.12244897959183673,0.11538461538461539,0.11881188118811882,52
6.0,0.6003898635477583,0.6390041493775933,0.6190954773869346,482,0.05263157894736842,0.07692307692307693,0.0625,39,0.09375,0.1276595744680851,0.10810810810810811,47
macro avg,0.5607678233290071,0.728078934073911,0.5732379685136159,5286,0.1886932789064589,0.1761571272830374,0.17449063454835206,588,0.17833629601376688,0.16958884137361624,0.16830255380709494,653
weighted avg,0.7825181437701562,0.7412031782065834,0.7576999857512635,5286,0.32750552293523166,0.28061224489795916,0.28716879053737066,588,0.27486240587016136,0.25114854517611024,0.25146349724941425,653
0.0,0.8405172413793104,0.7980900409276944,0.8187543736878936,733,0.2727272727272727,0.3,0.28571428571428564,70,0.27906976744186046,0.3116883116883117,0.294478527607362,77
1.0,0.06837606837606838,1.0,0.128,8,0.0,0.0,0.0,1,0.0,0.0,0.0,0
2.0,0.5176767676767676,0.6699346405228758,0.5840455840455839,306,0.13636363636363635,0.16666666666666666,0.15,36,0.04081632653061224,0.05714285714285714,0.04761904761904761,35
3.0,0.8107221006564551,0.8045602605863192,0.8076294277929155,921,0.37254901960784315,0.2620689655172414,0.3076923076923077,145,0.2920353982300885,0.2185430463576159,0.25,151
4.0,0.9315555555555556,0.8726061615320566,0.9011177987962167,2402,0.492,0.48046875,0.4861660079051383,256,0.43884892086330934,0.4280701754385965,0.4333925399644761,285
5.0,0.62,0.6813186813186813,0.6492146596858639,364,0.1111111111111111,0.1111111111111111,0.1111111111111111,45,0.16326530612244897,0.12903225806451613,0.14414414414414417,62
6.0,0.7134502923976608,0.6630434782608695,0.6873239436619718,552,0.05263157894736842,0.08571428571428572,0.06521739130434782,35,0.125,0.18604651162790697,0.14953271028037382,43
macro avg,0.6431854322916883,0.7842218947354995,0.6537265410957779,5286,0.205340374108176,0.20086139700132927,0.2008430148181701,588,0.1912908170269028,0.19007473718854342,0.18845242423077196,653
weighted avg,0.8283827654066747,0.8038214150586455,0.8142106533038262,5286,0.35852672296988974,0.3333333333333333,0.3431232845829119,588,0.3178923125267581,0.3016845329249617,0.30777217559158077,653
0.0,0.8778735632183908,0.8439226519337016,0.8605633802816901,724,0.2727272727272727,0.2876712328767123,0.27999999999999997,73,0.29069767441860467,0.31645569620253167,0.30303030303030304,79
1.0,0.11965811965811966,0.875,0.21052631578947367,16,0.0,0.0,0.0,1,0.0,0.0,0.0,0
2.0,0.648989898989899,0.7301136363636364,0.6871657754010695,352,0.06818181818181818,0.08333333333333333,0.075,36,0.10204081632653061,0.08928571428571429,0.09523809523809523,56
3.0,0.8687089715536105,0.853763440860215,0.8611713665943601,930,0.35294117647058826,0.2706766917293233,0.3063829787234042,133,0.3274336283185841,0.2534246575342466,0.28571428571428575,146
4.0,0.952,0.9103272418189545,0.9306973712796002,2353,0.5,0.4734848484848485,0.48638132295719844,264,0.42805755395683454,0.43272727272727274,0.43037974683544306,275
5.0,0.6875,0.7493188010899182,0.7170795306388528,367,0.1111111111111111,0.14705882352941177,0.12658227848101267,34,0.10204081632653061,0.11627906976744186,0.10869565217391304,43
6.0,0.7992202729044834,0.7536764705882353,0.7757805108798487,544,0.07017543859649122,0.0851063829787234,0.07692307692307691,47,0.15625,0.18518518518518517,0.1694915254237288,54
macro avg,0.7077072609035004,0.8165888918078089,0.7204263215521279,5286,0.1964481167267545,0.1924759018474789,0.19303852244067032,588,0.20093149847815495,0.19905108510034175,0.19893565834510984,653
weighted avg,0.8704092141759336,0.8518728717366629,0.8596881824696373,5286,0.3543891772551658,0.3299319727891156,0.34049793795008876,588,0.3170379696294626,0.30781010719754975,0.31113001345041263,653
0.0,0.9037356321839081,0.8985714285714286,0.9011461318051576,700,0.2727272727272727,0.28,0.27631578947368424,75,0.3023255813953488,0.3132530120481928,0.3076923076923077,83
1.0,0.26495726495726496,0.8857142857142857,0.4078947368421053,35,0.0,0.0,0.0,2,0.0,0.0,0.0,0
2.0,0.7222222222222222,0.7988826815642458,0.7586206896551724,358,0.11363636363636363,0.11904761904761904,0.11627906976744186,42,0.10204081632653061,0.09803921568627451,0.1,51
3.0,0.9070021881838074,0.8800424628450106,0.8933189655172413,942,0.3137254901960784,0.27350427350427353,0.2922374429223744,117,0.22123893805309736,0.22123893805309736,0.22123893805309736,113
4.0,0.9537777777777777,0.9314236111111112,0.9424681598594642,2304,0.452,0.45934959349593496,0.45564516129032256,246,0.44964028776978415,0.44964028776978415,0.44964028776978415,278
5.0,0.775,0.7868020304568528,0.7808564231738037,394,0.13333333333333333,0.15384615384615385,0.14285714285714288,39,0.16326530612244897,0.1509433962264151,0.15686274509803919,53
6.0,0.8460038986354775,0.7848101265822784,0.8142589118198875,553,0.05263157894736842,0.04477611940298507,0.04838709677419355,67,0.15625,0.13333333333333333,0.14388489208633093,75
macro avg,0.7675284262800656,0.8523209466921733,0.7855091455246903,5286,0.19115057697720236,0.1900748227567095,0.1902459575835942,588,0.19925156138102998,0.19520688330244246,0.19704559581422273,653
weighted avg,0.8939716646939767,0.8825198637911464,0.8867878414207262,5286,0.3092712089620537,0.30612244897959184,0.30731506750917614,588,0.3073030874624147,0.30474732006125577,0.30588599377508796,653
0.0,0.9195402298850575,0.9155937052932761,0.9175627240143369,699,0.2987012987012987,0.2911392405063291,0.2948717948717949,79,0.29069767441860467,0.2717391304347826,0.2808988764044944,92
1.0,0.37606837606837606,0.9777777777777777,0.5432098765432098,45,0.0,0.0,0.0,3,0.0,0.0,0.0,1
2.0,0.7954545454545454,0.8097686375321337,0.8025477707006369,389,0.06818181818181818,0.11538461538461539,0.0857142857142857,26,0.08163265306122448,0.1111111111111111,0.09411764705882353,36
3.0,0.9091903719912473,0.9042437431991295,0.9067103109656302,919,0.3627450980392157,0.29365079365079366,0.32456140350877194,126,0.2831858407079646,0.25,0.26556016597510373,128
4.0,0.9595555555555556,0.9427947598253276,0.9511013215859031,2290,0.516,0.4777777777777778,0.49615384615384617,270,0.4568345323741007,0.4379310344827586,0.4471830985915493,290
5.0,0.82,0.8431876606683805,0.8314321926489227,389,0.2,0.21428571428571427,0.20689655172413796,42,0.14285714285714285,0.11475409836065574,0.1272727272727273,61
6.0,0.9005847953216374,0.8324324324324325,0.8651685393258428,555,0.03508771929824561,0.047619047619047616,0.04040404040404041,42,0.140625,0.2,0.1651376146788991,45
macro avg,0.8114848391823456,0.8893998166754941,0.8311046765406402,5286,0.2115308477457969,0.20569388417489684,0.20694313176812526,588,0.19940469191700533,0.19793362491275826,0.19716716142594246,653
weighted avg,0.9120026960424209,0.9040862656072645,0.9067151600091601,5286,0.37460832726802273,0.34523809523809523,0.35844616223889525,588,0.3268838809649465,0.3124042879019908,0.31868386031222135,653
0.0,0.9396551724137931,0.9342857142857143,0.9369627507163324,700,0.22077922077922077,0.265625,0.24113475177304966,64,0.2558139534883721,0.3283582089552239,0.2875816993464052,67
1.0,0.48717948717948717,0.95,0.6440677966101694,60,0.0,0.0,0.0,4,0.0,0.0,0.0,1
2.0,0.803030303030303,0.8571428571428571,0.8292046936114732,371,0.06818181818181818,0.08571428571428572,0.07594936708860758,35,0.061224489795918366,0.07142857142857142,0.06593406593406594,42
3.0,0.9310722100656456,0.911134903640257,0.9209956709956709,934,0.3333333333333333,0.2956521739130435,0.3133640552995392,115,0.2920353982300885,0.24812030075187969,0.26829268292682923,133
