train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.0014367816091954023,0.0625,0.0028089887640449437,16,0.0,0.012987012987012988,0.5,0.025316455696202535,2,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.007575757575757576,0.08571428571428572,0.013921113689095129,35,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0010940919037199124,0.5,0.002183406113537118,2,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9897777777777778,0.4262200956937799,0.5958528428093646,5225,4.0,0.996,0.4249146757679181,0.5956937799043063,586,4.0,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,7,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42224744608399545,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.1428406298380644,0.15349062591543797,0.08782376448229168,5286,macro avg,0.14414100185528755,0.13213066796684544,0.08871574794292983,588,macro avg,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.978410748598864,0.42224744608399545,0.5890782545006622,5286,weighted avg,0.9926564184115204,0.42517006802721086,0.5937537209784285,588,weighted avg,1.0,0.42572741194486985,0.5972073039742213,653
mood_0.0,0.05238095238095238,0.3142857142857143,0.08979591836734695,245,mood_0.0,0.03529411764705882,0.375,0.06451612903225806,16,mood_0.0,0.03314917127071823,0.42857142857142855,0.06153846153846154,14
mood_1.0,0.10748065348237318,0.38699690402476783,0.16823687752355318,323,mood_1.0,0.21374045801526717,0.5,0.2994652406417112,56,mood_1.0,0.18055555555555555,0.4642857142857143,0.26,56
mood_2.0,0.0026595744680851063,0.07692307692307693,0.005141388174807198,13,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.9187527448397014,0.4446333687566419,0.5992552277284446,4705,mood_3.0,0.9230769230769231,0.4418604651162791,0.5976408912188728,516,mood_3.0,0.9326241134751773,0.451114922813036,0.608092485549133,583
mood_accuracy,0.0,0.0,0.42224744608399545,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.270318481292778,0.30570976599755023,0.215607352948538,5286,mood_macro avg,0.2930278746848123,0.32921511627906974,0.2404055652232105,588,mood_macro avg,0.2865822100753628,0.3359930164175447,0.23240773677189863,653
mood_weighted avg,0.8267718167512335,0.43416572077185017,0.5478439644246523,5286,mood_weighted avg,0.831363714011735,0.445578231292517,0.5547364139615482,588,mood_weighted avg,0.8488438861637511,0.45176110260336905,0.5665229058754716,653
0.0,0.2916666666666667,0.38446969696969696,0.3316993464052288,528,0.0,0.22077922077922077,0.3617021276595745,0.27419354838709675,47,0.0,0.10465116279069768,0.225,0.14285714285714288,40
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.04923413566739606,0.4411764705882353,0.08858267716535434,102,3.0,0.0196078431372549,0.2857142857142857,0.03669724770642201,7,3.0,0.008849557522123894,0.2,0.016949152542372878,5
4.0,0.928,0.4484536082474227,0.6046915725456126,4656,4.0,0.948,0.4438202247191011,0.6045918367346937,534,4.0,0.9460431654676259,0.43256578947368424,0.5936794582392777,608
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4419220582671207,0,accuracy,0.0,0.0,0.43537414965986393,0,accuracy,0.0,0.0,0.41807044410413474,0
macro avg,0.1812715431905804,0.18201425368647928,0.1464247994451708,5286,macro avg,0.16976958055949654,0.1558909482989945,0.13078323326117322,588,macro avg,0.15136341225434966,0.12250939849624062,0.10764082194839907,653
weighted avg,0.847482005644736,0.4419220582671207,0.5674643680940596,5286,weighted avg,0.8788195208819457,0.43537414965986393,0.5714217998715391,588,weighted avg,0.8873270121034533,0.41807044410413474,0.5616479970696453,653
mood_0.0,0.2605442176870748,0.4728395061728395,0.3359649122807017,810,mood_0.0,0.24705882352941178,0.45652173913043476,0.32061068702290074,92,mood_0.0,0.24861878453038674,0.39473684210526316,0.3050847457627119,114
mood_1.0,0.44368013757523644,0.4594835262689225,0.45144356955380577,1123,mood_1.0,0.3435114503816794,0.46875,0.3964757709251101,96,mood_1.0,0.24305555555555555,0.42168674698795183,0.30837004405286345,83
mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.7637241985068072,0.5186400238592306,0.6177619893428064,3353,mood_3.0,0.7773279352226721,0.48,0.5935085007727976,400,mood_3.0,0.7836879432624113,0.48464912280701755,0.5989159891598915,456
mood_accuracy,0.0,0.0,0.4419220582671207,0,mood_accuracy,0.0,0.0,0.43537414965986393,0,mood_accuracy,0.0,0.0,0.41807044410413474,0
mood_macro avg,0.3669871384422796,0.36274076407524813,0.35129261779432847,5286,mood_macro avg,0.3419745522834408,0.3513179347826087,0.32764873968020214,588,mood_macro avg,0.3188405708370884,0.32526817797505814,0.3030926947438667,653
mood_weighted avg,0.6186267212290665,0.49905410518350357,0.5392468138143628,5286,mood_weighted avg,0.623533478044925,0.4744897959183674,0.5186415944286334,588,mood_weighted avg,0.6215587361029629,0.4609494640122512,0.5106892277645442,653
0.0,0.5991379310344828,0.44314558979808716,0.5094685400122175,941,0.0,0.4675324675324675,0.28125,0.351219512195122,128,0.0,0.3023255813953488,0.203125,0.24299065420560748,128
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.015151515151515152,0.75,0.029702970297029705,8,2.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,1
3.0,0.20021881838074398,0.42657342657342656,0.27252419955323903,429,3.0,0.11764705882352941,0.3157894736842105,0.17142857142857143,38,3.0,0.10619469026548672,0.2553191489361702,0.15,47
4.0,0.8875555555555555,0.5177599170339642,0.6540036024234485,3857,4.0,0.78,0.4642857142857143,0.582089552238806,420,4.0,0.7517985611510791,0.4465811965811966,0.5603217158176944,468
5.0,0.0325,0.38235294117647056,0.05990783410138249,34,5.0,0.0,0.0,0.0,1,5.0,0.02040816326530612,0.2,0.03703703703703703,5
6.0,0.007797270955165692,0.23529411764705882,0.01509433962264151,17,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,4
accuracy,0.0,0.0,0.49564888384411654,0,accuracy,0.0,0.0,0.413265306122449,0,accuracy,0.0,0.0,0.37978560490045943,0
macro avg,0.24890872729678046,0.3935894274612868,0.22010021228713697,5286,macro avg,0.19502564662228528,0.15161788399570356,0.15781966226607133,588,macro avg,0.1686752851538887,0.15786076364533813,0.14147848672290556,653
weighted avg,0.7707800245353793,0.49564888384411654,0.5904929561487866,5286,weighted avg,0.6665216736045068,0.413265306122449,0.5033129170332651,588,weighted avg,0.6058692071915989,0.37978560490045943,0.46028874720701973,653
mood_0.0,0.4312925170068027,0.5585903083700441,0.48675623800383877,1135,mood_0.0,0.2,0.4594594594594595,0.2786885245901639,74,mood_0.0,0.20441988950276244,0.37755102040816324,0.26523297491039427,98
mood_1.0,0.6629406706792778,0.5770958083832335,0.6170468187274909,1336,mood_1.0,0.4580152671755725,0.36363636363636365,0.40540540540540543,165,mood_1.0,0.4305555555555556,0.31958762886597936,0.36686390532544383,194
mood_2.0,0.0,0.0,0.0,1,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.7545015371102327,0.6105188343994314,0.6749165193478688,2814,mood_3.0,0.680161943319838,0.4813753581661891,0.5637583892617449,349,mood_3.0,0.6347517730496454,0.49584487534626037,0.5567651632970451,361
mood_accuracy,0.0,0.0,0.49564888384411654,0,mood_accuracy,0.0,0.0,0.413265306122449,0,mood_accuracy,0.0,0.0,0.37978560490045943,0
mood_macro avg,0.46218368119907827,0.4365512377881772,0.4446798940197996,5286,mood_macro avg,0.33454430262385265,0.32611779531550306,0.3119630798143286,588,mood_macro avg,0.3174318045269908,0.29824588115510076,0.2972155108832208,653
mood_weighted avg,0.6618185902872552,0.5908059023836549,0.6197612496025705,5286,mood_weighted avg,0.5573963219431853,0.445578231292517,0.4834464635440697,588,mood_weighted avg,0.5095043139662642,0.42572741194486985,0.45659518089523426,653
0.0,0.7183908045977011,0.49603174603174605,0.5868544600938966,1008,0.0,0.4805194805194805,0.25874125874125875,0.33636363636363636,143,0.0,0.36046511627906974,0.2080536912751678,0.26382978723404255,149
1.0,0.008547008547008548,1.0,0.016949152542372885,1,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.030303030303030304,0.3157894736842105,0.055299539170506916,38,2.0,0.022727272727272728,0.14285714285714285,0.0392156862745098,7,2.0,0.04081632653061224,0.25,0.07017543859649122,8
3.0,0.43216630196936545,0.48525798525798525,0.45717592592592593,814,3.0,0.2647058823529412,0.2571428571428571,0.2608695652173913,105,3.0,0.2831858407079646,0.25,0.26556016597510373,128
4.0,0.8648888888888889,0.6183666984429615,0.7211413748378729,3147,4.0,0.588,0.47266881028938906,0.5240641711229946,311,4.0,0.5683453237410072,0.4773413897280967,0.5188834154351396,331
5.0,0.2375,0.4523809523809524,0.31147540983606553,210,5.0,0.044444444444444446,0.1111111111111111,0.06349206349206349,18,5.0,0.14285714285714285,0.22580645161290322,0.17500000000000002,31
6.0,0.07212475633528265,0.5441176470588235,0.12736660929432014,68,6.0,0.0,0.0,0.0,4,6.0,0.0,0.0,0.0,6
accuracy,0.0,0.0,0.5648883844116535,0,accuracy,0.0,0.0,0.36394557823129253,0,accuracy,0.0,0.0,0.35222052067381315,0
macro avg,0.33770297009161093,0.5588492146938113,0.32518035310013726,5286,macro avg,0.20005672572059127,0.17750302573453697,0.1748578746386565,588,macro avg,0.19938139287368523,0.20160021894516683,0.18477840103439674,653
weighted avg,0.7290325727888273,0.5648883844116535,0.6260521194157674,5286,weighted avg,0.4767610446776113,0.36394557823129253,0.40798066073785055,588,weighted avg,0.4331309251688983,0.35222052067381315,0.384439745115603,653
mood_0.0,0.5755102040816327,0.6547987616099071,0.6125995655322231,1292,mood_0.0,0.3411764705882353,0.41134751773049644,0.3729903536977492,141,mood_0.0,0.3425414364640884,0.3712574850299401,0.3563218390804598,167
mood_1.0,0.7721410146173688,0.6396011396011396,0.699649396182314,1404,mood_1.0,0.5190839694656488,0.37158469945355194,0.43312101910828027,183,mood_1.0,0.4513888888888889,0.32338308457711445,0.37681159420289856,201
mood_2.0,0.04521276595744681,0.6071428571428571,0.08415841584158416,28,mood_2.0,0.025,0.2,0.04444444444444445,5,mood_2.0,0.06521739130434782,0.2,0.09836065573770492,15
mood_3.0,0.795344751866491,0.7068696330991413,0.748501756561273,2562,mood_3.0,0.5182186234817814,0.4942084942084942,0.5059288537549408,259,mood_3.0,0.4929078014184397,0.5148148148148148,0.5036231884057971,270
mood_accuracy,0.0,0.0,0.5648883844116535,0,mood_accuracy,0.0,0.0,0.36394557823129253,0,mood_accuracy,0.0,0.0,0.35222052067381315,0
mood_macro avg,0.5470521841307349,0.6521030978632613,0.5362272835293487,5286,mood_macro avg,0.3508697658839164,0.36928517784813564,0.3391211677513537,588,mood_macro avg,0.3380138795189412,0.35236384610546734,0.3337793193567151,653
