train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,18,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,8,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9933333333333333,0.42555217060167555,0.59584110903759,5252,4.0,1.0,0.42517006802721086,0.5966587112171837,588,4.0,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4228149829738933,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.1419047619047619,0.06079316722881079,0.08512015843394143,5286,macro avg,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,macro avg,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9869441291461722,0.4228149829738933,0.5920086085254299,5286,weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,weighted avg,1.0,0.42572741194486985,0.5972073039742213,653
mood_0.0,0.19251700680272107,0.5299625468164794,0.28243512974051893,534,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.20292347377472056,0.47484909456740443,0.28433734939759037,497,mood_1.0,0.5877862595419847,0.5620437956204379,0.5746268656716417,137,mood_1.0,0.5972222222222222,0.5276073619631901,0.5602605863192183,163
mood_2.0,0.18085106382978725,0.4689655172413793,0.26103646833013433,145,mood_2.0,0.125,0.8333333333333334,0.21739130434782608,6,mood_2.0,0.043478260869565216,0.4,0.0784313725490196,5
mood_3.0,0.8559508124725516,0.47420924574209244,0.6103021762956005,4110,mood_3.0,0.9068825910931174,0.503370786516854,0.647398843930636,445,mood_3.0,0.8936170212765957,0.5195876288659794,0.6571056062581486,485
mood_accuracy,0.0,0.0,0.4228149829738933,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.3580605892199451,0.48699660109183895,0.359527780940961,5286,mood_macro avg,0.40491721265877556,0.4746869788676563,0.3598542534875259,588,mood_macro avg,0.3835793760920958,0.36179874770729237,0.3239493912815966,653
mood_weighted avg,0.7090121626213007,0.4797578509269769,0.5369519966732552,5286,mood_weighted avg,0.8245569227783829,0.5204081632653061,0.6260556360072022,588,mood_weighted avg,0.8131223106366293,0.5206738131699847,0.6285005382358037,653
0.0,0.09770114942528736,0.34,0.1517857142857143,200,0.0,0.38961038961038963,0.379746835443038,0.38461538461538464,79,0.0,0.3372093023255814,0.32954545454545453,0.3333333333333333,88
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.014223194748358862,0.41935483870967744,0.027513227513227514,31,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9724444444444444,0.4328387734915925,0.5990417522245037,5055,4.0,0.92,0.4518664047151277,0.6060606060606061,509,4.0,0.9028776978417267,0.44424778761061945,0.5954922894424673,565
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42924706772606885,0,accuracy,0.0,0.0,0.4421768707482993,0,accuracy,0.0,0.0,0.42879019908116384,0
macro avg,0.1549098269454415,0.17031337317161,0.11119152771763507,5286,macro avg,0.18708719851576996,0.11880189145116653,0.14152514152514153,588,macro avg,0.17715528573818687,0.11054189173658201,0.13268937468225725,653
weighted avg,0.9337283041220059,0.42924706772606885,0.5787677091193566,5286,weighted avg,0.8487401713932327,0.4421768707482993,0.5763086120228977,588,weighted avg,0.8266467348931497,0.42879019908116384,0.5601630579913129,653
mood_0.0,0.058503401360544216,0.5,0.10475030450669914,172,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.4419604471195185,0.5568797399783315,0.4928092042186002,923,mood_1.0,0.7022900763358778,0.5609756097560976,0.6237288135593221,164,mood_1.0,0.7083333333333334,0.5454545454545454,0.6163141993957704,187
