train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.05028735632183908,0.35714285714285715,0.08816120906801009,98,0.0,0.025974025974025976,0.6666666666666666,0.05,3,0.0,0.0,0.0,0.0,2
1.0,0.0,0.0,0.0,18,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,8,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0087527352297593,0.38095238095238093,0.017112299465240642,21,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9804444444444445,0.42909939700447386,0.5969422270328778,5141,4.0,1.0,0.42735042735042733,0.5988023952095808,585,4.0,0.9928057553956835,0.423963133640553,0.5941872981700753,651
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42546348846008325,0,accuracy,0.0,0.0,0.42857142857142855,0,accuracy,0.0,0.0,0.4226646248085758,0
macro avg,0.14849779085657752,0.16674209072853027,0.10031653365230407,5286,macro avg,0.14656771799628943,0.15628815628815626,0.09268605645851155,588,macro avg,0.1418293936279548,0.06056616194865043,0.0848838997385822,653
weighted avg,0.9545169991010696,0.42546348846008325,0.5822699859919523,5286,weighted avg,0.9950304797243572,0.42857142857142855,0.5960023829891237,588,weighted avg,0.989765002699219,0.4226646248085758,0.5923674289566907,653
mood_0.0,0.1836734693877551,0.5212355212355212,0.2716297786720322,518,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.2553740326741187,0.5147313691507799,0.34137931034482766,577,mood_1.0,0.6641221374045801,0.6541353383458647,0.6590909090909092,133,mood_1.0,0.6319444444444444,0.6408450704225352,0.6363636363636364,142
mood_2.0,0.19148936170212766,0.4585987261146497,0.27016885553470915,157,mood_2.0,0.425,0.5483870967741935,0.47887323943661964,31,mood_2.0,0.34782608695652173,0.35555555555555557,0.3516483516483516,45
mood_3.0,0.849802371541502,0.47967278135845315,0.6132150213912216,4034,mood_3.0,0.8906882591093117,0.5188679245283019,0.6557377049180327,424,mood_3.0,0.8865248226950354,0.5364806866952789,0.6684491978609626,466
mood_accuracy,0.0,0.0,0.42546348846008325,0,mood_accuracy,0.0,0.0,0.42857142857142855,0,mood_accuracy,0.0,0.0,0.4226646248085758,0
mood_macro avg,0.37008480882637584,0.493559599464851,0.37409824148569765,5286,mood_macro avg,0.49495259912847295,0.43034758991209004,0.44842546336139033,588,mood_macro avg,0.46657383852400036,0.38322032816834245,0.41411529646823764,653
