train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.033045977011494254,0.3382352941176471,0.060209424083769635,68,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,16,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,5,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0087527352297593,0.38095238095238093,0.017112299465240642,21,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9844444444444445,0.4279366306027821,0.5965526528413683,5176,4.0,1.0,0.42517006802721086,0.5966587112171837,588,4.0,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4248959515701854,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.146606165240814,0.16387490081040143,0.09626776805576835,5286,macro avg,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,macro avg,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9644183462582389,0.4248959515701854,0.5849811067410875,5286,weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,weighted avg,1.0,0.42572741194486985,0.5972073039742213,653
mood_0.0,0.28095238095238095,0.4375,0.34217067108533555,944,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.07308684436801376,0.25757575757575757,0.11386470194239785,330,mood_1.0,0.03816793893129771,0.1282051282051282,0.058823529411764705,39,mood_1.0,0.09027777777777778,0.24074074074074073,0.13131313131313133,54
mood_2.0,0.2925531914893617,0.07845934379457917,0.12373453318335208,1402,mood_2.0,0.05,0.04878048780487805,0.04938271604938272,41,mood_2.0,0.06521739130434782,0.04838709677419355,0.05555555555555555,62
mood_3.0,0.45893719806763283,0.4003831417624521,0.42766523429506853,2610,mood_3.0,0.854251012145749,0.4153543307086614,0.5589403973509934,508,mood_3.0,0.8333333333333334,0.4376163873370577,0.5738705738705738,537
mood_accuracy,0.0,0.0,0.4248959515701854,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.2763824037193473,0.2934795607831972,0.2518587851265385,5286,mood_macro avg,0.23560473776926166,0.1480849866796669,0.16678666070303522,588,mood_macro avg,0.24720712560386474,0.181686056212998,0.19018481518481517,653
mood_weighted avg,0.35893366774216784,0.31271282633371167,0.31219571361686277,5286,mood_weighted avg,0.7440443261706821,0.3707482993197279,0.49023899806018395,588,mood_weighted avg,0.6989563219921433,0.38437978560490044,0.4880610286429582,653
0.0,0.25287356321839083,0.3893805309734513,0.30662020905923343,452,0.0,0.44155844155844154,0.41975308641975306,0.430379746835443,81,0.0,0.3023255813953488,0.3132530120481928,0.3076923076923077,83
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
