train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.08333333333333333,0.42028985507246375,0.13908872901678654,138,0.0,0.11688311688311688,0.42857142857142855,0.1836734693877551,21,0.0,0.10465116279069768,0.42857142857142855,0.16822429906542058,21
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0025252525252525255,0.029411764705882353,0.004651162790697674,34,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.018599562363238512,0.2786885245901639,0.03487179487179487,61,3.0,0.0196078431372549,0.2857142857142857,0.03669724770642201,7,3.0,0.008849557522123894,0.3333333333333333,0.017241379310344827,3
4.0,0.9706666666666667,0.4323040380047506,0.5981922760887428,5052,4.0,0.964,0.4303571428571429,0.5950617283950618,560,4.0,0.9676258992805755,0.4276629570747218,0.5931642778390298,629
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42754445705637534,0,accuracy,0.0,0.0,0.42857142857142855,0,accuracy,0.0,0.0,0.42725880551301687,0
macro avg,0.15358925926978445,0.16581345462475153,0.11097199468114598,5286,macro avg,0.15721299428862454,0.1635204081632653,0.11649034935560555,588,macro avg,0.15444665994191387,0.16993824556849768,0.11123285088782789,653
weighted avg,0.9301037517763935,0.42754445705637534,0.5757750553209815,5286,weighted avg,0.922503061830793,0.42857142857142855,0.5737220943746979,588,weighted avg,0.935468474331781,0.42725880551301687,0.5768526266141724,653
mood_0.0,0.44761904761904764,0.3639380530973451,0.40146430750457596,1808,mood_0.0,0.5882352941176471,0.6172839506172839,0.6024096385542168,162,mood_0.0,0.580110497237569,0.603448275862069,0.5915492957746479,174
mood_1.0,0.22613929492691315,0.47048300536672627,0.305458768873403,559,mood_1.0,0.4732824427480916,0.7126436781609196,0.5688073394495413,87,mood_1.0,0.4444444444444444,0.6881720430107527,0.540084388185654,93
mood_2.0,0.3191489361702128,0.056022408963585436,0.09531374106433677,2142,mood_2.0,0.225,0.03435114503816794,0.05960264900662252,262,mood_2.0,0.30434782608695654,0.04794520547945205,0.08284023668639054,292
mood_3.0,0.10584101888449715,0.31016731016731014,0.15782580222658807,777,mood_3.0,0.06477732793522267,0.2077922077922078,0.09876543209876544,77,mood_3.0,0.07092198581560284,0.2127659574468085,0.10638297872340426,94
mood_accuracy,0.0,0.0,0.42754445705637534,0,mood_accuracy,0.0,0.0,0.42857142857142855,0,mood_accuracy,0.0,0.0,0.42725880551301687,0
mood_macro avg,0.2746870744001677,0.30015269439874176,0.24001565491722596,5286,mood_macro avg,0.33782376620024035,0.3930177454021448,0.33239626477728657,588,mood_macro avg,0.34995618839614323,0.3880828704497706,0.33021422484252416,653
mood_weighted avg,0.32189984807212124,0.2425274309496784,0.2314399548729425,5286,mood_weighted avg,0.3408291571720322,0.31802721088435376,0.2896214834850906,588,mood_weighted avg,0.36417885411443846,0.3108728943338438,0.286901645755713,653
0.0,0.3232758620689655,0.4269449715370019,0.3679476696647588,527,0.0,0.38961038961038963,0.4918032786885246,0.43478260869565216,61,0.0,0.26744186046511625,0.3709677419354839,0.3108108108108108,62
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.007575757575757576,0.2,0.014598540145985403,15,2.0,0.022727272727272728,0.125,0.038461538461538464,8,2.0,0.061224489795918366,0.3,0.10169491525423728,10
3.0,0.07658643326039387,0.4069767441860465,0.12891344383057088,172,3.0,0.06862745098039216,0.4375,0.11864406779661019,16,3.0,0.07079646017699115,0.36363636363636365,0.11851851851851852,22
4.0,0.9235555555555556,0.4550032844317933,0.609652339738888,4567,4.0,0.932,0.46322067594433397,0.6188579017264276,503,4.0,0.89568345323741,0.44543828264758495,0.5949820788530465,559
5.0,0.005,0.4,0.009876543209876543,5,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4498675747256905,0,accuracy,0.0,0.0,0.4608843537414966,0,accuracy,0.0,0.0,0.4333843797856049,0
macro avg,0.19085622978009606,0.26984642859354885,0.16156979094143994,5286,macro avg,0.20185215904543635,0.21678913637612268,0.17296373095431836,588,macro avg,0.18502089481077655,0.21143462688849035,0.16085804620523048,653
weighted avg,0.8326818207372286,0.4498675747256905,0.5676564757203796,5286,weighted avg,0.8398675019791467,0.4608843537414966,0.5782538453933095,588,weighted avg,0.7954643380251185,0.4333843797856049,0.5443945006264519,653
mood_0.0,0.40680272108843535,0.3454650491045638,0.373633239612621,1731,mood_0.0,0.5882352941176471,0.6172839506172839,0.6024096385542168,162,mood_0.0,0.580110497237569,0.603448275862069,0.5915492957746479,174
mood_1.0,0.22527944969905417,0.48608534322820035,0.3078730904817861,539,mood_1.0,0.4732824427480916,0.7469879518072289,0.5794392523364486,83,mood_1.0,0.4513888888888889,0.6701030927835051,0.5394190871369294,97
mood_2.0,0.3324468085106383,0.05555555555555555,0.09520182787509521,2250,mood_2.0,0.225,0.03435114503816794,0.05960264900662252,262,mood_2.0,0.30434782608695654,0.04794520547945205,0.08284023668639054,292
mood_3.0,0.11023276240667546,0.3276762402088773,0.16496878080841273,766,mood_3.0,0.0728744939271255,0.2222222222222222,0.10975609756097558,81,mood_3.0,0.06382978723404255,0.2,0.0967741935483871,90
mood_accuracy,0.0,0.0,0.4498675747256905,0,mood_accuracy,0.0,0.0,0.4608843537414966,0,mood_accuracy,0.0,0.0,0.4333843797856049,0
mood_macro avg,0.2686904354262008,0.30369554702429924,0.23541923469447876,5286,mood_macro avg,0.3398480576982161,0.40521131742122574,0.33780190936456583,588,mood_macro avg,0.34991924986186423,0.3803741435312565,0.3276457032865887,653
mood_weighted avg,0.31366718667126775,0.23382519863791146,0.21817497774448316,5286,mood_weighted avg,0.33916563674021705,0.32142857142857145,0.2894387029453783,588,mood_weighted avg,0.366520972143973,0.3093415007656968,0.28813515382672555,653
0.0,0.521551724137931,0.49794238683127573,0.5094736842105263,729,0.0,0.42857142857142855,0.3473684210526316,0.38372093023255816,95,0.0,0.3488372093023256,0.30612244897959184,0.32608695652173914,98
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.15656565656565657,0.46616541353383456,0.23440453686200377,133,2.0,0.1590909090909091,0.2,0.17721518987341772,35,2.0,0.12244897959183673,0.20689655172413793,0.15384615384615385,29
3.0,0.2658643326039387,0.4764705882352941,0.3412921348314607,510,3.0,0.11764705882352941,0.4,0.1818181818181818,30,3.0,0.08849557522123894,0.2857142857142857,0.13513513513513511,35
4.0,0.8622222222222222,0.5162320383182544,0.6458055925432756,3758,4.0,0.752,0.49343832020997375,0.5958795562599049,381,4.0,0.7553956834532374,0.48498845265588914,0.5907172995780591,433
5.0,0.11,0.4782608695652174,0.17886178861788618,92,5.0,0.08888888888888889,0.09523809523809523,0.09195402298850575,42,5.0,0.2857142857142857,0.28,0.2828282828282828,50
6.0,0.050682261208576995,0.40625,0.0901213171577123,64,6.0,0.017543859649122806,0.2,0.03225806451612903,5,6.0,0.03125,0.25,0.05555555555555555,8
accuracy,0.0,0.0,0.5066212637154749,0,accuracy,0.0,0.0,0.4166666666666667,0,accuracy,0.0,0.0,0.4165390505359878,0
macro avg,0.2809837423911894,0.4059030423548394,0.2857084363175521,5286,macro avg,0.22339173500341128,0.2480064052143858,0.20897799224124247,588,macro avg,0.2331631047547035,0.2591031055819864,0.22059562620927506,653
weighted avg,0.7170298949444293,0.5066212637154749,0.5724180048400935,5286,weighted avg,0.5784777753890347,0.4166666666666667,0.4747687681893364,588,weighted avg,0.5856913587649321,0.4165390505359878,0.477050902348479,653
mood_0.0,0.4272108843537415,0.34448710916072406,0.3814151229881567,1823,mood_0.0,0.5882352941176471,0.6172839506172839,0.6024096385542168,162,mood_0.0,0.580110497237569,0.603448275862069,0.5915492957746479,174
mood_1.0,0.20378331900257954,0.4721115537848606,0.2846846846846847,502,mood_1.0,0.5419847328244275,0.7473684210526316,0.6283185840707965,95,mood_1.0,0.4652777777777778,0.6767676767676768,0.551440329218107,99
mood_2.0,0.3537234042553192,0.061631139944392954,0.10497237569060774,2158,mood_2.0,0.225,0.03435114503816794,0.05960264900662252,262,mood_2.0,0.30434782608695654,0.04794520547945205,0.08284023668639054,292
mood_3.0,0.10935441370223979,0.31008717310087175,0.1616883116883117,803,mood_3.0,0.06477732793522267,0.2318840579710145,0.10126582278481014,69,mood_3.0,0.06382978723404255,0.20454545454545456,0.09729729729729729,88
mood_accuracy,0.0,0.0,0.5066212637154749,0,mood_accuracy,0.0,0.0,0.4166666666666667,0,mood_accuracy,0.0,0.0,0.4165390505359878,0
mood_macro avg,0.27351800532847,0.29707924399771235,0.23319012376294024,5286,mood_macro avg,0.3549993387193243,0.40772189366977446,0.34789917360411154,588,mood_macro avg,0.3533914720840865,0.3831766531636631,0.33078178974411065,653
mood_weighted avg,0.3277055181426491,0.23590616723420355,0.2259927321122148,5286,mood_weighted avg,0.3574869096818194,0.3333333333333333,0.30592493664012893,588,mood_weighted avg,0.3698136493312773,0.3124042879019908,0.2913838917794327,653
0.0,0.7011494252873564,0.6264441591784339,0.6616949152542373,779,0.0,0.33766233766233766,0.3291139240506329,0.3333333333333333,79,0.0,0.3023255813953488,0.3132530120481928,0.3076923076923077,83
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.4116161616161616,0.5863309352517986,0.48367952522255186,278,2.0,0.11363636363636363,0.17857142857142858,0.1388888888888889,28,2.0,0.10204081632653061,0.2,0.13513513513513514,25
3.0,0.4201312910284464,0.5916795069337443,0.491362763915547,649,3.0,0.14705882352941177,0.29411764705882354,0.19607843137254904,51,3.0,0.09734513274336283,0.22916666666666666,0.13664596273291924,48
4.0,0.8475555555555555,0.6112179487179488,0.71024208566108,3120,4.0,0.604,0.4674922600619195,0.5270506108202443,323,4.0,0.6546762589928058,0.48021108179419525,0.5540334855403348,379
5.0,0.325,0.6103286384976526,0.4241435562805873,213,5.0,0.1111111111111111,0.08333333333333333,0.09523809523809525,60,5.0,0.3469387755102041,0.25757575757575757,0.29565217391304355,66
6.0,0.21637426900584794,0.4493927125506073,0.2921052631578947,247,6.0,0.17543859649122806,0.2127659574468085,0.19230769230769232,47,6.0,0.125,0.15384615384615385,0.13793103448275862,52
accuracy,0.0,0.0,0.6021566401816119,0,accuracy,0.0,0.0,0.36054421768707484,0,accuracy,0.0,0.0,0.38131699846860645,0
macro avg,0.41740381464190973,0.4964848430185979,0.43760401564169976,5286,macro avg,0.21270103320435035,0.2236277929318495,0.21184243599440047,588,macro avg,0.2326180807097503,0.233436095990138,0.22387001421378558,653
weighted avg,0.7000251004319679,0.6021566401816119,0.633232229573675,5286,weighted avg,0.4206826931273762,0.36054421768707484,0.38301414416651086,588,weighted avg,0.47448219200245867,0.38131699846860645,0.41675343708908313,653
mood_0.0,0.4326530612244898,0.3632210165619646,0.3949084135361689,1751,mood_0.0,0.6,0.6035502958579881,0.6017699115044247,169,mood_0.0,0.5911602209944752,0.5977653631284916,0.5944444444444446,179
mood_1.0,0.236457437661221,0.48586572438162545,0.31810294968189706,566,mood_1.0,0.2900763358778626,0.6551724137931034,0.40211640211640204,58,mood_1.0,0.3333333333333333,0.6956521739130435,0.4507042253521127,69
mood_2.0,0.3882978723404255,0.0655002243158367,0.11209213051823418,2229,mood_2.0,0.225,0.034482758620689655,0.059800664451827246,261,mood_2.0,0.30434782608695654,0.048109965635738834,0.08308605341246292,291
mood_3.0,0.10759771629336846,0.3310810810810811,0.16241299303944315,740,mood_3.0,0.06882591093117409,0.17,0.09798270893371758,100,mood_3.0,0.08156028368794327,0.20175438596491227,0.11616161616161616,114
mood_accuracy,0.0,0.0,0.6021566401816119,0,mood_accuracy,0.0,0.0,0.36054421768707484,0,mood_accuracy,0.0,0.0,0.38131699846860645,0
mood_macro avg,0.29125152187987624,0.31141701158512697,0.2468791216939358,5286,mood_macro avg,0.2959755617022592,0.3658013670679453,0.29041742175159285,588,mood_macro avg,0.3276004160256771,0.38582047216054655,0.3110990848426591,653
mood_weighted avg,0.34743637673557204,0.246311010215664,0.23487890189105512,5286,mood_weighted avg,0.31263948737080516,0.282312925170068,0.2558301202079894,588,mood_weighted avg,0.3471374721129264,0.29402756508422667,0.2678784270908152,653
0.0,0.8376436781609196,0.724223602484472,0.776815456362425,805,0.0,0.4675324675324675,0.3103448275862069,0.37305699481865284,116,0.0,0.3372093023255814,0.26126126126126126,0.2944162436548224,111
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1
2.0,0.5757575757575758,0.7192429022082019,0.6395511921458626,317,2.0,0.11363636363636363,0.11904761904761904,0.11627906976744186,42,2.0,0.12244897959183673,0.14285714285714285,0.13186813186813187,42
3.0,0.5579868708971554,0.7103064066852368,0.625,718,3.0,0.17647058823529413,0.28125,0.21686746987951808,64,3.0,0.19469026548672566,0.3235294117647059,0.2430939226519337,68
4.0,0.8768888888888889,0.7198102882159796,0.790623121618914,2741,4.0,0.56,0.4682274247491639,0.5100182149362477,299,4.0,0.6151079136690647,0.4899713467048711,0.5454545454545455,349
5.0,0.545,0.6770186335403726,0.6038781163434903,322,5.0,0.0,0.0,0.0,22,5.0,0.2653061224489796,0.3939393939393939,0.3170731707317074,33
6.0,0.45419103313840153,0.608355091383812,0.5200892857142857,383,6.0,0.10526315789473684,0.13333333333333333,0.11764705882352941,45,6.0,0.078125,0.10204081632653061,0.08849557522123894,49
accuracy,0.0,0.0,0.7084752175558078,0,accuracy,0.0,0.0,0.3486394557823129,0,accuracy,0.0,0.0,0.3767228177641654,0
macro avg,0.5496382924061345,0.5941367035025821,0.5651367388835682,5286,macro avg,0.20327179675698032,0.18745760067376047,0.19055268688934143,588,macro avg,0.23041251193174114,0.24479991040770077,0.23148594136891137,653
weighted avg,0.7586928671727775,0.7084752175558078,0.7259865865551663,5286,weighted avg,0.41237662118846174,0.3486394557823129,0.37385614679333723,588,weighted avg,0.43348838693018976,0.3767228177641654,0.3980281554488541,653
mood_0.0,0.4530612244897959,0.37755102040816324,0.411873840445269,1764,mood_0.0,0.6176470588235294,0.5706521739130435,0.5932203389830508,184,mood_0.0,0.6132596685082873,0.581151832460733,0.5967741935483871,191
mood_1.0,0.2407566638005159,0.5303030303030303,0.3311649911295092,528,mood_1.0,0.29770992366412213,0.6964285714285714,0.41711229946524064,56,mood_1.0,0.2986111111111111,0.7049180327868853,0.41951219512195126,61
mood_2.0,0.38563829787234044,0.06552191595119747,0.11201235998455002,2213,mood_2.0,0.2,0.031496062992125984,0.05442176870748299,254,mood_2.0,0.30434782608695654,0.04895104895104895,0.08433734939759037,286
mood_3.0,0.10628019323671498,0.30985915492957744,0.15827338129496404,781,mood_3.0,0.06477732793522267,0.1702127659574468,0.093841642228739,94,mood_3.0,0.07446808510638298,0.1826086956521739,0.10579345088161209,115
mood_accuracy,0.0,0.0,0.7084752175558078,0,mood_accuracy,0.0,0.0,0.3486394557823129,0,mood_accuracy,0.0,0.0,0.3767228177641654,0
mood_macro avg,0.29643409484984184,0.3208087803979921,0.2533311432135731,5286,mood_macro avg,0.2950335776057185,0.3671973935727969,0.2896490123461284,588,mood_macro avg,0.3226716727031845,0.3794074024627103,0.3016042972373852,653
