train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.021551724137931036,0.20833333333333334,0.03906250000000001,72,0.012987012987012988,0.3333333333333333,0.025,3,0.023255813953488372,0.5,0.04444444444444444,4
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9888888888888889,0.4267357115458381,0.5961950696677385,5214,0.996,0.4256410256410256,0.5964071856287425,585,0.9964028776978417,0.4268104776579353,0.5976267529665588,649
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14434865900383143,0.09072414926845307,0.0907510813811055,5286,0.14414100185528755,0.10842490842490841,0.08877245508982036,588,0.14566552737876146,0.13240149680827648,0.09172445677300045,653
weighted avg,0.9757129002657203,0.42376087779038973,0.588606430807338,5286,0.9909846276172806,0.42517006802721086,0.5934918428449224,588,0.9904417930807247,0.42725880551301687,0.5942381936494249,653
0.0,0.29310344827586204,0.3827392120075047,0.3319772172497966,533,0.2727272727272727,0.30434782608695654,0.2876712328767123,69,0.3372093023255814,0.28431372549019607,0.3085106382978723,102
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.05798687089715536,0.39552238805970147,0.10114503816793892,134,0.00980392156862745,0.5,0.019230769230769232,2,0.017699115044247787,0.5,0.034188034188034185,4
4.0,0.9253333333333333,0.45201910551454627,0.6073512252042007,4606,0.908,0.4468503937007874,0.5989445910290238,508,0.8633093525179856,0.4419889502762431,0.584652862362972,543
5.0,0.005,0.15384615384615385,0.009685230024213076,13,0.022222222222222223,0.1111111111111111,0.037037037037037035,9,0.02040816326530612,0.25,0.037735849056603765,4
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.18306052178662152,0.19773240848970092,0.1500226729494499,5286,0.1732504880740175,0.19461561869983646,0.1346976614533632,588,0.17694656187901728,0.21090038225234847,0.13786962627221175,653
weighted avg,0.8373334680220557,0.4428679530836171,0.565282433444856,5286,0.8168397783355766,0.42517006802721086,0.5518451737806668,588,0.7707882945906793,0.4165390505359878,0.534796760953224,653
0.0,0.5560344827586207,0.4766009852216749,0.5132625994694959,812,0.14285714285714285,0.24444444444444444,0.180327868852459,45,0.23255813953488372,0.3076923076923077,0.26490066225165565,65
1.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.21772428884026257,0.43736263736263736,0.2907231555880204,455,0.08823529411764706,0.45,0.1475409836065574,20,0.07964601769911504,0.391304347826087,0.1323529411764706,23
4.0,0.884,0.5223214285714286,0.6566523605150214,3808,0.868,0.44834710743801653,0.5912806539509536,484,0.841726618705036,0.43820224719101125,0.5763546798029557,534
5.0,0.185,0.3978494623655914,0.2525597269624573,186,0.022222222222222223,0.02564102564102564,0.023809523809523808,39,0.10204081632653061,0.16666666666666666,0.12658227848101267,30
6.0,0.01364522417153996,0.4117647058823529,0.026415094339622643,17,0.0,0.0,0.0,0,0.0,0.0,0.0,1
macro avg,0.26520057082434617,0.32084274562909787,0.24851613383923107,5286,0.160187808456716,0.16691893964621235,0.13470843288849912,588,0.17942451318079503,0.18626650991086752,0.15717008024458495,653
weighted avg,0.7475366099571009,0.5024593265228906,0.5858883127547809,5286,0.7298842584652909,0.40476190476190477,0.5070986083525932,588,0.7189760740507384,0.4104134762633997,0.5081677305706358,653
0.0,0.6853448275862069,0.5489067894131185,0.6095846645367412,869,0.14285714285714285,0.24444444444444444,0.180327868852459,45,0.2558139534883721,0.3384615384615385,0.29139072847682124,65
1.0,0.008547008547008548,0.25,0.01652892561983471,4,0.0,0.0,0.0,0,0.0,0.0,0.0,1
2.0,0.012626262626262626,0.25,0.024038461538461536,20,0.0,0.0,0.0,3,0.0,0.0,0.0,1
3.0,0.4387308533916849,0.5050377833753149,0.4695550351288057,794,0.19607843137254902,0.2631578947368421,0.2247191011235955,76,0.24778761061946902,0.3010752688172043,0.2718446601941748,93
4.0,0.8742222222222222,0.6171948540947599,0.7235607871988228,3187,0.76,0.45893719806763283,0.5722891566265059,414,0.7482014388489209,0.4642857142857143,0.5730027548209368,448
5.0,0.4275,0.49854227405247814,0.46029609690444145,343,0.06666666666666667,0.07692307692307693,0.07142857142857144,39,0.10204081632653061,0.16129032258064516,0.12500000000000003,31
6.0,0.07407407407407407,0.5507246376811594,0.13058419243986255,69,0.05263157894736842,0.2727272727272727,0.08823529411764705,11,0.015625,0.07142857142857142,0.02564102564102564,14
macro avg,0.36014932120677995,0.460058048373833,0.3477354519095672,5286,0.1740334028348181,0.18802712669989557,0.1624285703069684,588,0.1956384027547561,0.19093448793909623,0.18383988130470832,653
weighted avg,0.7344104236446195,0.5788876276958003,0.6386649178257985,5286,0.5767848292199085,0.38605442176870747,0.4521724815444486,588,0.5792471893947838,0.40428790199081166,0.46732183655100407,653
0.0,0.7370689655172413,0.5876288659793815,0.6539196940726578,873,0.18181818181818182,0.22580645161290322,0.2014388489208633,62,0.29069767441860467,0.30864197530864196,0.2994011976047904,81
