train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.0028735632183908046,0.13333333333333333,0.005625879043600563,15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0010940919037199124,1.0,0.002185792349726776,1,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9871111111111112,0.4260502589679647,0.5952030014739381,5213,4.0,1.0,0.42517006802721086,0.5966587112171837,588,4.0,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0075,0.09375,0.013888888888888888,32,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.01364522417153996,0.28,0.026022304832713755,25,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.422625804010594,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.14460342720068026,0.2761619417573283,0.0918465523698383,5286,macro avg,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,macro avg,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9735973421049358,0.422625804010594,0.5872067390705459,5286,weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,weighted avg,1.0,0.42572741194486985,0.5972073039742213,653
mood_0.0,0.1949728260869565,0.2097953216374269,0.20211267605633804,1368,mood_0.0,0.10119047619047619,0.17894736842105263,0.12927756653992398,95,mood_0.0,0.08839779005524862,0.1927710843373494,0.1212121212121212,83
mood_1.0,0.30617495711835335,0.38263665594855306,0.34016198189614105,933,mood_1.0,0.5447154471544715,0.7362637362637363,0.6261682242990655,91,mood_1.0,0.5570469798657718,0.7155172413793104,0.6264150943396226,116
mood_2.0,0.18498659517426275,0.04551451187335093,0.07305452620434093,1516,mood_2.0,0.11627906976744186,0.028089887640449437,0.04524886877828054,178,mood_2.0,0.06521739130434782,0.015463917525773196,0.025,194
mood_3.0,0.33802197802197803,0.5234853641933288,0.41079059829059833,1469,mood_3.0,0.48031496062992124,0.5446428571428571,0.5104602510460251,224,mood_3.0,0.5379061371841155,0.573076923076923,0.5549348230912478,260
mood_accuracy,0.0,0.0,0.422625804010594,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.25603908910038764,0.29035796341316494,0.2565299456118546,5286,mood_macro avg,0.3106249884355777,0.37198596236702386,0.3277887276658238,588,mood_macro avg,0.3121420746023709,0.374207291579839,0.3318905096607479,653
mood_weighted avg,0.2514903566168839,0.28036322360953464,0.24745806291502834,5286,mood_weighted avg,0.3188272560014611,0.358843537414966,0.32595250358733213,588,mood_weighted avg,0.34374002422653704,0.38437978560490044,0.35506556050187854,653
0.0,0.06609195402298851,0.3150684931506849,0.10926365795724466,146,0.0,0.025974025974025976,0.2,0.04597701149425288,10,0.0,0.09302325581395349,0.3333333333333333,0.14545454545454545,24
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9813333333333333,0.42957198443579764,0.5975642760487144,5140,4.0,0.988,0.4273356401384083,0.5966183574879227,578,4.0,0.9784172661870504,0.43243243243243246,0.5997794928335171,629
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4264093832765796,0,accuracy,0.0,0.0,0.42346938775510207,0,accuracy,0.0,0.0,0.42879019908116384,0
macro avg,0.14963218390804597,0.10637721108378322,0.10097541914370844,5286,macro avg,0.1448534322820037,0.08961937716262976,0.09179933842602508,588,macro avg,0.15306293171442914,0.1093951093951094,0.1064620054697232,653
weighted avg,0.9560542486985791,0.4264093832765796,0.5840773501612089,5286,weighted avg,0.9716390140471773,0.42346938775510207,0.5872537087465337,588,weighted avg,0.9458759855607802,0.42879019908116384,0.5830814855791597,653
mood_0.0,0.19089673913043478,0.20244956772334294,0.1965034965034965,1388,mood_0.0,0.14285714285714285,0.17777777777777778,0.15841584158415842,135,mood_0.0,0.11602209944751381,0.1810344827586207,0.1414141414141414,116
mood_1.0,0.27358490566037735,0.3576233183856502,0.31000971817298345,892,mood_1.0,0.5447154471544715,0.7362637362637363,0.6261682242990655,91,mood_1.0,0.5570469798657718,0.7155172413793104,0.6264150943396226,116
mood_2.0,0.16353887399463807,0.03945666235446313,0.06357477853048463,1546,mood_2.0,0.11627906976744186,0.028089887640449437,0.04524886877828054,178,mood_2.0,0.06521739130434782,0.015463917525773196,0.025,194
mood_3.0,0.3261538461538461,0.5082191780821917,0.39732262382864786,1460,mood_3.0,0.36220472440944884,0.5,0.4200913242009133,184,mood_3.0,0.4584837545126354,0.5594713656387665,0.5039682539682541,227
mood_accuracy,0.0,0.0,0.4264093832765796,0,mood_accuracy,0.0,0.0,0.42346938775510207,0,mood_accuracy,0.0,0.0,0.42879019908116384,0
mood_macro avg,0.23854359123482408,0.276937181636412,0.24185265425890312,5286,mood_macro avg,0.29151409604712625,0.3605328504204909,0.31248106471560444,588,mood_macro avg,0.2991925562825672,0.3678717518256177,0.32419937243050456,653
mood_weighted avg,0.23420698530882067,0.2654180855088914,0.23224615212922992,5286,mood_weighted avg,0.26564313552162316,0.3197278911564626,0.2784329070077863,588,mood_weighted avg,0.2983215917117195,0.35834609494640124,0.3190183537492041,653
0.0,0.1853448275862069,0.2866666666666667,0.22513089005235604,450,0.0,0.4025974025974026,0.34065934065934067,0.36904761904761907,91,0.0,0.47674418604651164,0.35344827586206895,0.40594059405940597,116
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9395555555555556,0.4371381306865178,0.5966694891335027,4836,4.0,0.912,0.45875251509054327,0.6104417670682731,497,4.0,0.89568345323741,0.46368715083798884,0.6110429447852761,537
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42432841468028754,0,accuracy,0.0,0.0,0.44047619047619047,0,accuracy,0.0,0.0,0.444104134762634,0
macro avg,0.1607000547345375,0.10340068533616921,0.1174000541694084,5286,macro avg,0.18779962894248609,0.11420169367855484,0.13992705515941317,588,macro avg,0.19606109132627453,0.11673363238572254,0.14528336269209743,653
weighted avg,0.8753491939236587,0.42432841468028754,0.5650402099835754,5286,weighted avg,0.8331638837353124,0.44047619047619047,0.5730831489222195,588,weighted avg,0.8212623889278476,0.444104134762634,0.5746082239825181,653
mood_0.0,0.19769021739130435,0.21334310850439883,0.20521861777150915,1364,mood_0.0,0.10119047619047619,0.17894736842105263,0.12927756653992398,95,mood_0.0,0.08839779005524862,0.1927710843373494,0.1212121212121212,83
mood_1.0,0.29759862778730706,0.369542066027689,0.32969121140142515,939,mood_1.0,0.5447154471544715,0.7362637362637363,0.6261682242990655,91,mood_1.0,0.5570469798657718,0.7155172413793104,0.6264150943396226,116
mood_2.0,0.1769436997319035,0.04353562005277045,0.0698782424563261,1516,mood_2.0,0.11627906976744186,0.028089887640449437,0.04524886877828054,178,mood_2.0,0.06521739130434782,0.015463917525773196,0.025,194
mood_3.0,0.3292307692307692,0.5105657805044308,0.40032068412613575,1467,mood_3.0,0.48031496062992124,0.5446428571428571,0.5104602510460251,224,mood_3.0,0.5379061371841155,0.573076923076923,0.5549348230912478,260
mood_accuracy,0.0,0.0,0.42432841468028754,0,mood_accuracy,0.0,0.0,0.44047619047619047,0,mood_accuracy,0.0,0.0,0.444104134762634,0
mood_macro avg,0.250365828535321,0.2842466437723223,0.25127718893884904,5286,mood_macro avg,0.3106249884355777,0.37198596236702386,0.3277887276658238,588,mood_macro avg,0.3121420746023709,0.374207291579839,0.3318905096607479,653
mood_weighted avg,0.24599371079627783,0.27487703367385546,0.24266063210804167,5286,mood_weighted avg,0.3188272560014611,0.358843537414966,0.32595250358733213,588,mood_weighted avg,0.34374002422653704,0.38437978560490044,0.35506556050187854,653
0.0,0.2859195402298851,0.30428134556574926,0.29481481481481486,654,0.0,0.4025974025974026,0.34065934065934067,0.36904761904761907,91,0.0,0.47674418604651164,0.35344827586206895,0.40594059405940597,116
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9217777777777778,0.4477547495682211,0.6027317640220866,4632,4.0,0.912,0.45875251509054327,0.6104417670682731,497,4.0,0.89568345323741,0.46368715083798884,0.6110429447852761,537
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.430003783579266,0,accuracy,0.0,0.0,0.44047619047619047,0,accuracy,0.0,0.0,0.444104134762634,0
