train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.07183908045977011,0.3968253968253968,0.121654501216545,126,0.0,0.12987012987012986,0.47619047619047616,0.20408163265306123,21,0.0,0.08139534883720931,0.5833333333333334,0.14285714285714288,12
1.0,0.0,0.0,0.0,15,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,8,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.00437636761487965,0.25,0.008602150537634409,16,3.0,0.0196078431372549,0.6666666666666666,0.03809523809523809,3,3.0,0.0,0.0,0.0,0
4.0,0.9777777777777777,0.42960359304823276,0.5969339302672636,5121,4.0,0.988,0.4379432624113475,0.6068796068796068,564,4.0,0.9892086330935251,0.4290171606864275,0.5984766050054408,641
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4264093832765796,0,accuracy,0.0,0.0,0.44047619047619047,0,accuracy,0.0,0.0,0.4318529862174579,0
macro avg,0.1505704608360611,0.15377556998194705,0.10388436886020615,5286,macro avg,0.16249685328676924,0.22582862932407005,0.1212937825182723,588,macro avg,0.15294342599010494,0.1446214991456801,0.10590482112322623,653
weighted avg,0.9489825474876598,0.4264093832765796,0.5812267798828119,5286,weighted avg,0.9524117283276946,0.44047619047619047,0.5895920038777182,588,weighted avg,0.9725259999984627,0.4318529862174579,0.5901038124391627,653
mood_0.0,0.2836734693877551,0.4483870967741935,0.34750000000000003,930,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.07136715391229578,0.2530487804878049,0.1113346747149564,328,mood_1.0,0.03816793893129771,0.1282051282051282,0.058823529411764705,39,mood_1.0,0.09027777777777778,0.24074074074074073,0.13131313131313133,54
mood_2.0,0.2845744680851064,0.07753623188405798,0.12186788154897496,1380,mood_2.0,0.05,0.0392156862745098,0.04395604395604395,51,mood_2.0,0.08695652173913043,0.05555555555555555,0.06779661016949153,72
mood_3.0,0.45410628019323673,0.3904833836858006,0.41989847715736045,2648,mood_3.0,0.8218623481781376,0.40763052208835343,0.5449664429530201,498,mood_3.0,0.8049645390070922,0.4307400379506641,0.561186650185414,527
mood_accuracy,0.0,0.0,0.4264093832765796,0,mood_accuracy,0.0,0.0,0.44047619047619047,0,mood_accuracy,0.0,0.0,0.4318529862174579,0
