train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9995555555555555,0.4257050918038993,0.5971060666401168,5283,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14279365079365078,0.06081501311484276,0.08530086666287383,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9989882709042754,0.42546348846008325,0.5967671869201167,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.2974137931034483,0.3854748603351955,0.33576642335766427,537,0.15584415584415584,0.3,0.20512820512820512,40,0.36046511627906974,0.41333333333333333,0.38509316770186336,75
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
3.0,0.018599562363238512,0.40476190476190477,0.03556485355648536,42,0.11764705882352941,0.41379310344827586,0.183206106870229,29,0.11504424778761062,0.3023255813953488,0.16666666666666666,43
4.0,0.9457777777777778,0.4520926280008498,0.6117579416415121,4707,0.924,0.44680851063829785,0.6023468057366362,517,0.8884892086330936,0.4634146341463415,0.6091245376078915,533
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,1
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.18025587617778066,0.17747562758542143,0.1404413169365231,5286,0.17107017352395504,0.16580023058379625,0.1415258739621529,588,0.19485693895711056,0.16843907841071767,0.1658406245680602,653
weighted avg,0.8725441521974664,0.4449489216799092,0.5791420591182435,5286,0.8288325356116474,0.4336734693877551,0.5526044283506901,588,0.7741907114505916,0.445635528330781,0.5523920869667881,653
0.0,0.5962643678160919,0.46945701357466063,0.5253164556962024,884,0.23376623376623376,0.27692307692307694,0.2535211267605634,65,0.43023255813953487,0.3394495412844037,0.3794871794871795,109
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0707070707070707,0.3111111111111111,0.11522633744855966,90,0.022727272727272728,0.2,0.04081632653061225,5,0.02040816326530612,0.2,0.03703703703703703,5
3.0,0.25601750547045954,0.49056603773584906,0.33644859813084116,477,0.23529411764705882,0.2696629213483146,0.2513089005235602,89,0.23893805309734514,0.2647058823529412,0.25116279069767444,102
4.0,0.8791111111111111,0.5357529794149513,0.6657691013126893,3692,0.74,0.4468599033816425,0.5572289156626506,414,0.7086330935251799,0.4758454106280193,0.5693641618497111,414
5.0,0.0975,0.3305084745762712,0.15057915057915056,118,0.022222222222222223,0.07142857142857142,0.03389830508474576,14,0.04081632653061224,0.09090909090909091,0.05633802816901408,22
6.0,0.009746588693957114,0.2,0.018587360594795536,25,0.0,0.0,0.0,1,0.015625,1.0,0.03076923076923077,1
macro avg,0.2727638062569558,0.33391365948754903,0.25884671482317695,5286,0.17914426376611248,0.18069635329737221,0.16239622493744746,588,0.20780759922256833,0.338701417882065,0.18916548971569241,653
weighted avg,0.7402589055168448,0.5105940219447598,0.5886281960544615,5286,0.5831985189458179,0.38945578231292516,0.45955237138471144,588,0.5599644042458852,0.4058192955589586,0.465780798249186,653
0.0,0.7140804597701149,0.6016949152542372,0.6530880420499343,826,0.3246753246753247,0.25252525252525254,0.28409090909090906,99,0.5232558139534884,0.2777777777777778,0.3629032258064516,162
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.23737373737373738,0.43119266055045874,0.30618892508143325,218,0.06818181818181818,0.08333333333333333,0.075,36,0.16326530612244897,0.25,0.19753086419753088,32
3.0,0.5087527352297593,0.6183510638297872,0.5582232893157263,752,0.23529411764705882,0.2926829268292683,0.2608695652173913,82,0.20353982300884957,0.27058823529411763,0.23232323232323232,85
4.0,0.8826666666666667,0.6539348040829767,0.7512767164743711,3037,0.596,0.4775641025641026,0.5302491103202848,312,0.539568345323741,0.487012987012987,0.5119453924914675,308
5.0,0.41,0.4606741573033708,0.43386243386243384,356,0.13333333333333333,0.15,0.1411764705882353,40,0.08163265306122448,0.08,0.0808080808080808,50
6.0,0.09746588693957114,0.5154639175257731,0.16393442622950818,97,0.03508771929824561,0.10526315789473684,0.05263157894736842,19,0.046875,0.1875,0.075,16
macro avg,0.4071913551399785,0.4687587883638006,0.40951054757334393,5286,0.19893890187654012,0.1944812533066705,0.19200251916631267,588,0.22259099163853607,0.22183985715498325,0.20864439937525187,653
