train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.05603448275862069,0.4020618556701031,0.09836065573770493,97,0.16883116883116883,0.35135135135135137,0.22807017543859648,37,0.1511627906976744,0.30952380952380953,0.203125,42
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9902222222222222,0.42936982077471575,0.5990052426401398,5189,0.968,0.43920145190562615,0.6042446941323346,551,0.960431654676259,0.4369885433715221,0.6006749156355455,611
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14946524356869184,0.11877595377783126,0.09962369976826353,5286,0.16240445269016696,0.11293611475099678,0.11890212422441872,588,0.1587992064819905,0.10664462184219024,0.1148285593765065,653
weighted avg,0.9730795414185958,0.4288687097994703,0.5898182345187747,5286,0.9177121653856346,0.4336734693877551,0.5805738485682729,588,0.9083806710819243,0.42879019908116384,0.5751050895150357,653
0.0,0.17385057471264367,0.3865814696485623,0.23984142715559958,313,0.22077922077922077,0.4473684210526316,0.29565217391304344,38,0.13953488372093023,0.32432432432432434,0.19512195121951217,37
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.007658643326039387,0.2916666666666667,0.014925373134328358,24,0.0392156862745098,0.3333333333333333,0.07017543859649122,12,0.02654867256637168,0.375,0.049586776859504134,8
4.0,0.9662222222222222,0.43928066276015354,0.6039727739963884,4949,0.936,0.4373831775700935,0.5961783439490447,535,0.9496402877697842,0.43492586490939045,0.5966101694915253,607
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,1
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.16396163432298647,0.15964697129648323,0.12267708204090233,5286,0.17085641529339007,0.17401213313657976,0.13742942235122563,588,0.1593891205795837,0.1620357413191021,0.1201884139386488,653
