train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.010057471264367816,0.21875,0.01923076923076923,32,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.13333333333333333,0.009732360097323601,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9906666666666667,0.42562535802940615,0.595432082275945,5237,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14368209185450564,0.1111012416232485,0.08919931594343398,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9815586322341187,0.42338251986379116,0.5900565994884541,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.08764367816091954,0.324468085106383,0.13800904977375567,188,0.19480519480519481,0.4166666666666667,0.26548672566371684,36,0.11627906976744186,0.2564102564102564,0.16,39
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9791111111111112,0.4321302471557473,0.5996189439303212,5098,0.972,0.44021739130434784,0.6059850374064838,552,0.9532374100719424,0.43159609120521175,0.5941704035874439,614
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1523935413245758,0.1080854760374472,0.10537542767201098,5286,0.16668645640074212,0.1224120082815735,0.12449596615288581,588,0.15278806854848348,0.098286621087924,0.10773862908392055,653
weighted avg,0.9474054967723605,0.4283011729095725,0.583201490259978,5286,0.9244166445799098,0.4387755102040816,0.5851382019936613,588,0.9032506179251192,0.4211332312404288,0.5682398588096332,653
0.0,0.5172413793103449,0.3715170278637771,0.4324324324324325,969,0.6363636363636364,0.28823529411764703,0.39676113360323884,170,0.4883720930232558,0.22826086956521738,0.3111111111111111,184
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
