train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.01867816091954023,0.28888888888888886,0.03508771929824562,45,0.0,0.03896103896103896,0.3,0.0689655172413793,10,0.0,0.05813953488372093,0.4166666666666667,0.10204081632653061,12
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.00437636761487965,0.13793103448275862,0.00848356309650053,29,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9875555555555555,0.4264056802916907,0.5956306125184292,5211,4.0,0.988,0.4273356401384083,0.5966183574879227,578,4.0,0.9856115107913669,0.42745709828393136,0.5963003264417845,641
5.0,0.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42357169882709045,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42725880551301687,0
macro avg,0.14437286915571076,0.12188937195190544,0.09131455641616791,5286,macro avg,0.146708719851577,0.10390509144834405,0.09508341067561457,588,macro avg,0.14910729223929825,0.12058910927865686,0.09976302039547359,653
weighted avg,0.973726718104845,0.42357169882709045,0.5875247999492536,5286,weighted avg,0.9718598816149836,0.42517006802721086,0.5876446697286277,588,weighted avg,0.9685676153688679,0.42725880551301687,0.5872174564243526,653
mood_0.0,0.00816326530612245,0.13043478260869565,0.015364916773367477,92,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.049011177987962166,0.37012987012987014,0.08656036446469248,154,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.013297872340425532,0.3333333333333333,0.02557544757033248,15,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.956082564778217,0.43323383084577116,0.5962749931525609,5025,mood_3.0,1.0,0.4200680272108844,0.591616766467066,588,mood_3.0,1.0,0.4318529862174579,0.6032085561497327,653
mood_accuracy,0.0,0.0,0.42357169882709045,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42725880551301687,0
mood_macro avg,0.2566387201031818,0.3167829542294176,0.18094393049023835,5286,mood_macro avg,0.25,0.1050170068027211,0.1479041916167665,588,mood_macro avg,0.25,0.10796324655436447,0.15080213903743317,653
mood_weighted avg,0.9104829924165637,0.4258418463866818,0.5696952971577537,5286,mood_weighted avg,1.0,0.4200680272108844,0.591616766467066,588,mood_weighted avg,1.0,0.4318529862174579,0.6032085561497327,653
0.0,0.1853448275862069,0.4358108108108108,0.2600806451612903,296,0.0,0.36363636363636365,0.5185185185185185,0.42748091603053434,54,0.0,0.2558139534883721,0.3728813559322034,0.30344827586206896,59
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0010940919037199124,0.25,0.002178649237472767,4,3.0,0.0,0.0,0.0,0,3.0,0.008849557522123894,1.0,0.017543859649122806,1
4.0,0.9737777777777777,0.43943040513437626,0.605583195135434,4986,4.0,0.968,0.45318352059925093,0.6173469387755103,534,4.0,0.9496402877697842,0.4451939291736931,0.6061997703788748,593
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4390843738176315,0,accuracy,0.0,0.0,0.45918367346938777,0,accuracy,0.0,0.0,0.43950995405819293,0
macro avg,0.16574524246681493,0.1607487451350267,0.12397749850488529,5286,macro avg,0.19023376623376625,0.1388145770168242,0.14926112211514922,588,macro avg,0.17347197125432576,0.25972504072941377,0.1324559865557238,653
weighted avg,0.928891873880653,0.4390843738176315,0.5857794923401374,5286,weighted avg,0.9124972170686457,0.45918367346938777,0.5999102632172982,588,weighted avg,0.8855108169384657,0.43950995405819293,0.5779440367077855,653
mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,1.0,0.4307604994324631,0.6021420071400237,5286,mood_3.0,1.0,0.4200680272108844,0.591616766467066,588,mood_3.0,1.0,0.4318529862174579,0.6032085561497327,653
mood_accuracy,0.0,0.0,0.4390843738176315,0,mood_accuracy,0.0,0.0,0.45918367346938777,0,mood_accuracy,0.0,0.0,0.43950995405819293,0
mood_macro avg,0.25,0.10769012485811577,0.15053550178500594,5286,mood_macro avg,0.25,0.1050170068027211,0.1479041916167665,588,mood_macro avg,0.25,0.10796324655436447,0.15080213903743317,653
mood_weighted avg,1.0,0.4307604994324631,0.6021420071400237,5286,mood_weighted avg,1.0,0.4200680272108844,0.591616766467066,588,mood_weighted avg,1.0,0.4318529862174579,0.6032085561497327,653
