train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.05028735632183908,0.3977272727272727,0.08928571428571429,88,0.36363636363636365,0.2916666666666667,0.3236994219653179,96,0.29069767441860467,0.211864406779661,0.2450980392156863,118
1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0032822757111597373,0.14285714285714285,0.00641711229946524,21,0.0,0.0,0.0,1,0.008849557522123894,1.0,0.017543859649122806,1
4.0,0.9768888888888889,0.42770967114224556,0.5949384219786169,5139,0.868,0.44285714285714284,0.5864864864864864,490,0.8705035971223022,0.45318352059925093,0.5960591133004927,534
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.003898635477582846,0.08,0.007434944237918216,25,0.0,0.0,0.0,1,0.0,0.0,0.0,0
macro avg,0.14776530805706725,0.14975629810380872,0.09972517040024496,5286,0.17594805194805194,0.10493197278911566,0.13002655835025775,588,0.16715011843757582,0.23786398962555882,0.12267157316647169,653
weighted avg,0.9505909347395377,0.42338251986379116,0.5799406595477662,5286,0.7827025355596785,0.4166666666666667,0.5415876239575661,588,0.7644105604934561,0.4104134762633997,0.5317529540422101,653
0.0,0.29454022988505746,0.34982935153583616,0.31981279251170047,586,0.24675324675324675,0.31666666666666665,0.2773722627737226,60,0.2558139534883721,0.29333333333333333,0.2732919254658385,75
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.007575757575757576,0.375,0.014851485148514853,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.02954048140043764,0.36,0.054600606673407485,75,0.029411764705882353,0.5,0.05555555555555555,6,0.008849557522123894,0.2,0.016949152542372878,5
4.0,0.9275555555555556,0.45928697183098594,0.6143656167206359,4544,0.888,0.42940038684719534,0.5788787483702739,517,0.9280575539568345,0.455026455026455,0.6106508875739645,567
5.0,0.0125,0.38461538461538464,0.024213075060532687,13,0.0,0.0,0.0,0,0.0,0.0,0.0,3
6.0,0.04093567251461988,0.35,0.07329842931937172,60,0.017543859649122806,0.2,0.03225806451612903,5,0.03125,0.6666666666666666,0.05970149253731343,3
macro avg,0.1875210995616326,0.32553310114031525,0.15730600077630902,5286,0.16881555301546455,0.20658100764483742,0.13486637588795444,588,0.17485300928104722,0.23071806500377928,0.13722763687421274,653
weighted avg,0.8309322364119569,0.4441922058267121,0.5652694271485186,5286,0.8064037154620335,0.4166666666666667,0.5381246128057295,588,0.8354252333732982,0.4333843797856049,0.5620211300225109,653
0.0,0.5617816091954023,0.46054181389870436,0.5061488673139158,849,0.38961038961038963,0.2830188679245283,0.32786885245901637,106,0.4186046511627907,0.27692307692307694,0.33333333333333337,130
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.07575757575757576,0.32608695652173914,0.12295081967213115,92,0.022727272727272728,0.25,0.04166666666666667,4,0.02040816326530612,0.5,0.039215686274509796,2
3.0,0.21991247264770242,0.5037593984962406,0.3061690784463062,399,0.29411764705882354,0.35714285714285715,0.3225806451612903,84,0.24778761061946902,0.2545454545454545,0.2511210762331838,110
4.0,0.8782222222222222,0.5577194467965001,0.6822026583808044,3543,0.712,0.47593582887700536,0.5705128205128205,374,0.6223021582733813,0.45526315789473687,0.5258358662613981,380
5.0,0.1725,0.35751295336787564,0.23271500843170315,193,0.022222222222222223,0.5,0.0425531914893617,2,0.0,0.0,0.0,4
6.0,0.16569200779727095,0.40476190476190477,0.23513139695712312,210,0.03508771929824561,0.1111111111111111,0.05333333333333334,18,0.0625,0.14814814814814814,0.0879120879120879,27
macro avg,0.2962665553743105,0.3729117819775664,0.2979025470288548,5286,0.2108236072738505,0.2824583807222146,0.1940736442317841,588,0.19594322618870677,0.23355426250163092,0.1767740071449304,653
