train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.015804597701149427,0.4782608695652174,0.030598052851182198,23,0.0,0.09090909090909091,0.4666666666666667,0.15217391304347827,15,0.0,0.06976744186046512,0.4,0.1188118811881188,15
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,12,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.002188183807439825,0.5,0.004357298474945534,4,3.0,0.058823529411764705,0.375,0.10169491525423728,16,3.0,0.061946902654867256,0.3684210526315789,0.10606060606060606,19
4.0,0.9951111111111111,0.42696414950419526,0.5975447024286096,5244,4.0,0.952,0.4272890484739677,0.5898389095415117,557,4.0,0.9532374100719424,0.4281098546042003,0.5908584169453734,619
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.001949317738791423,0.3333333333333333,0.003875968992248062,3,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42622020431328034,0,accuracy,0.0,0.0,0.4268707482993197,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.14500760147978453,0.248365478914678,0.09091086039242648,5286,macro avg,0.1573903743315508,0.18127938787723347,0.12052967683417533,588,macro avg,0.1549931077981821,0.17093298674796847,0.11653298631344262,653
weighted avg,0.9872759691831704,0.42622020431328034,0.5929355338350515,5286,weighted avg,0.9057292735275928,0.4268707482993197,0.5653911563849353,588,weighted avg,0.9070098922096199,0.42572741194486985,0.5659091727751294,653
mood_0.0,0.0707482993197279,0.42448979591836733,0.12128279883381925,245,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.5477214101461737,0.6395582329317269,0.5900880037054191,996,mood_1.0,0.6641221374045801,0.696,0.6796874999999999,125,mood_1.0,0.6180555555555556,0.6691729323308271,0.6425992779783394,133
mood_2.0,0.4095744680851064,0.4873417721518987,0.44508670520231214,316,mood_2.0,0.475,0.48717948717948717,0.4810126582278481,39,mood_2.0,0.45652173913043476,0.3888888888888889,0.42,54
mood_3.0,0.855072463768116,0.5221238938053098,0.6483516483516484,3729,mood_3.0,0.8906882591093117,0.5188679245283019,0.6557377049180327,424,mood_3.0,0.8865248226950354,0.5364806866952789,0.6684491978609626,466
mood_accuracy,0.0,0.0,0.42622020431328034,0,mood_accuracy,0.0,0.0,0.4268707482993197,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.470779160329781,0.5183784237018256,0.45120228902329973,5286,mood_macro avg,0.507452599128473,0.42551185292694726,0.45410946578647016,588,mood_macro avg,0.4902755293452564,0.3986356269787487,0.43276211895982547,653
mood_weighted avg,0.7341760512949528,0.537646613696557,0.6007931579553747,5286,mood_weighted avg,0.8149525323774162,0.5544217687074829,0.6492401667621291,588,mood_weighted avg,0.7962850385571497,0.5513016845329249,0.6426386373266887,653
0.0,0.27729885057471265,0.4088983050847458,0.33047945205479456,472,0.0,0.24675324675324675,0.48717948717948717,0.3275862068965517,39,0.0,0.16279069767441862,0.3333333333333333,0.21875,42
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.06673960612691467,0.45185185185185184,0.11630123927550048,135,3.0,0.13725490196078433,0.25925925925925924,0.1794871794871795,54,3.0,0.168141592920354,0.2923076923076923,0.21348314606741575,65
4.0,0.9311111111111111,0.4482242190842961,0.6051415366839976,4674,4.0,0.876,0.44242424242424244,0.5879194630872483,495,4.0,0.8525179856115108,0.4340659340659341,0.575242718446602,546
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.001949317738791423,0.2,0.0038610038610038607,5,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4445705637533106,0,accuracy,0.0,0.0,0.42857142857142855,0,accuracy,0.0,0.0,0.41347626339969373,0
macro avg,0.18244269793593285,0.2155677680029848,0.1508261759821852,5286,macro avg,0.18000116410200445,0.16983756983756984,0.15642754992442565,588,macro avg,0.1690643251723262,0.15138670852956568,0.14392512350200254,653
weighted avg,0.8497763874802166,0.4445705637533106,0.5675629618146738,5286,weighted avg,0.7664203083830935,0.42857142857142855,0.5331433741317365,588,weighted avg,0.7400325160582443,0.41347626339969373,0.5163038725363349,653
mood_0.0,0.05510204081632653,0.49693251533742333,0.09920391916717698,163,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.6053310404127257,0.6929133858267716,0.6461679669573198,1016,mood_1.0,0.6641221374045801,0.696,0.6796874999999999,125,mood_1.0,0.6180555555555556,0.6691729323308271,0.6425992779783394,133
mood_2.0,0.40691489361702127,0.49038461538461536,0.4447674418604651,312,mood_2.0,0.475,0.48717948717948717,0.4810126582278481,39,mood_2.0,0.45652173913043476,0.3888888888888889,0.42,54
mood_3.0,0.8673693456302152,0.5204216073781291,0.6505270092226614,3795,mood_3.0,0.8906882591093117,0.5188679245283019,0.6557377049180327,424,mood_3.0,0.8865248226950354,0.5364806866952789,0.6684491978609626,466
mood_accuracy,0.0,0.0,0.4445705637533106,0,mood_accuracy,0.0,0.0,0.42857142857142855,0,mood_accuracy,0.0,0.0,0.41347626339969373,0
mood_macro avg,0.48367933011907216,0.5501630309817349,0.4601665843019058,5286,mood_macro avg,0.507452599128473,0.42551185292694726,0.45410946578647016,588,mood_macro avg,0.4902755293452564,0.3986356269787487,0.43276211895982547,653
mood_weighted avg,0.7647790547082043,0.5510783200908059,0.6205437637369187,5286,mood_weighted avg,0.8149525323774162,0.5544217687074829,0.6492401667621291,588,mood_weighted avg,0.7962850385571497,0.5513016845329249,0.6426386373266887,653
0.0,0.4985632183908046,0.46765498652291104,0.48261474269819193,742,0.0,0.37662337662337664,0.43283582089552236,0.4027777777777778,67,0.0,0.29069767441860467,0.3472222222222222,0.31645569620253167,72
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.5,0.01,4,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.19584245076586435,0.50997150997151,0.28300395256917,351,3.0,0.20588235294117646,0.3,0.2441860465116279,70,3.0,0.22123893805309736,0.3048780487804878,0.25641025641025644,82
4.0,0.8862222222222222,0.48094548962855765,0.6235146966854284,4146,4.0,0.808,0.4601366742596811,0.5863570391872278,439,4.0,0.8057553956834532,0.45714285714285713,0.5833333333333334,490
5.0,0.015,0.3157894736842105,0.02863961813842482,19,5.0,0.0,0.0,0.0,6,5.0,0.02040816326530612,0.5,0.039215686274509796,2
6.0,0.017543859649122806,0.375,0.0335195530726257,24,6.0,0.017543859649122806,0.16666666666666666,0.031746031746031744,6,6.0,0.03125,0.2857142857142857,0.056338028169014086,7
accuracy,0.0,0.0,0.4799470298902762,0,accuracy,0.0,0.0,0.4302721088435374,0,accuracy,0.0,0.0,0.4241960183767228,0
macro avg,0.23117460801121698,0.37848020854388414,0.20875608045197724,5286,macro avg,0.20114994131623942,0.19423416597455287,0.18072384217466647,588,macro avg,0.19562145306006593,0.27070820197997897,0.17882185719852076,653
weighted avg,0.7782213765134146,0.4799470298902762,0.5758446993776004,5286,weighted avg,0.6708550920026248,0.4302721088435374,0.5130618210214188,588,weighted avg,0.6648568693566864,0.4241960183767228,0.5055384104981452,653
mood_0.0,0.04353741496598639,0.5871559633027523,0.0810639645345155,109,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.6225279449699054,0.6869070208728653,0.6531348669373027,1054,mood_1.0,0.6641221374045801,0.696,0.6796874999999999,125,mood_1.0,0.6180555555555556,0.6691729323308271,0.6425992779783394,133
mood_2.0,0.4148936170212766,0.4968152866242038,0.45217391304347826,314,mood_2.0,0.475,0.48717948717948717,0.4810126582278481,39,mood_2.0,0.45652173913043476,0.3888888888888889,0.42,54
mood_3.0,0.8752744839701362,0.5232344447361512,0.654945777193559,3809,mood_3.0,0.8906882591093117,0.5188679245283019,0.6557377049180327,424,mood_3.0,0.8865248226950354,0.5364806866952789,0.6684491978609626,466
mood_accuracy,0.0,0.0,0.4799470298902762,0,mood_accuracy,0.0,0.0,0.4302721088435374,0,mood_accuracy,0.0,0.0,0.4241960183767228,0
mood_macro avg,0.4890583652318261,0.5735281788839932,0.46032963042721387,5286,mood_macro avg,0.507452599128473,0.42551185292694726,0.45410946578647016,588,mood_macro avg,0.4902755293452564,0.3986356269787487,0.43276211895982547,653
mood_weighted avg,0.7803797081756532,0.5556186152099887,0.6307058637745171,5286,mood_weighted avg,0.8149525323774162,0.5544217687074829,0.6492401667621291,588,mood_weighted avg,0.7962850385571497,0.5513016845329249,0.6426386373266887,653
0.0,0.6163793103448276,0.527027027027027,0.5682119205298013,814,0.0,0.44155844155844154,0.32075471698113206,0.37158469945355194,106,0.0,0.3488372093023256,0.297029702970297,0.32085561497326204,101
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.027777777777777776,0.5238095238095238,0.052757793764988,21,2.0,0.0,0.0,0.0,2,2.0,0.04081632653061224,1.0,0.07843137254901959,2
3.0,0.3304157549234136,0.594488188976378,0.4247538677918425,508,3.0,0.21568627450980393,0.2894736842105263,0.24719101123595505,76,3.0,0.23008849557522124,0.3058823529411765,0.2626262626262626,85
4.0,0.8688888888888889,0.528664142779881,0.6573638197713517,3698,4.0,0.688,0.46612466124661245,0.5557350565428109,369,4.0,0.7122302158273381,0.47368421052631576,0.5689655172413793,418
5.0,0.11,0.5116279069767442,0.18106995884773663,86,5.0,0.044444444444444446,0.1111111111111111,0.06349206349206349,18,5.0,0.16326530612244897,0.24242424242424243,0.1951219512195122,33
6.0,0.12085769980506822,0.389937106918239,0.18452380952380953,159,6.0,0.07017543859649122,0.23529411764705882,0.1081081081081081,17,6.0,0.046875,0.21428571428571427,0.07692307692307691,14
accuracy,0.0,0.0,0.5302686341278849,0,accuracy,0.0,0.0,0.3979591836734694,0,accuracy,0.0,0.0,0.40888208269525267,0
macro avg,0.2963313473914252,0.439364842355399,0.2955258814613614,5286,macro avg,0.2085520855870259,0.2032511844566344,0.19230156269035564,588,macro avg,0.22030179333684946,0.36190088902110656,0.21470339936178753,653
weighted avg,0.7400671170706081,0.5302686341278849,0.5969069408831307,5286,weighted avg,0.5426230172178235,0.3979591836734694,0.45275752694047827,588,weighted avg,0.5492005332838562,0.40888208269525267,0.4597703611863605,653
mood_0.0,0.03605442176870748,0.5520833333333334,0.06768837803320563,96,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.6294067067927773,0.6938388625592417,0.6600541027953112,1055,mood_1.0,0.6641221374045801,0.696,0.6796874999999999,125,mood_1.0,0.6180555555555556,0.6691729323308271,0.6425992779783394,133
mood_2.0,0.4095744680851064,0.48580441640378547,0.4444444444444444,317,mood_2.0,0.475,0.48717948717948717,0.4810126582278481,39,mood_2.0,0.45652173913043476,0.3888888888888889,0.42,54
mood_3.0,0.8783487044356609,0.5238344683080147,0.6562756357670222,3818,mood_3.0,0.8906882591093117,0.5188679245283019,0.6557377049180327,424,mood_3.0,0.8865248226950354,0.5364806866952789,0.6684491978609626,466
mood_accuracy,0.0,0.0,0.5302686341278849,0,mood_accuracy,0.0,0.0,0.3979591836734694,0,mood_accuracy,0.0,0.0,0.40888208269525267,0
mood_macro avg,0.48834607527056306,0.5638902701510937,0.45711564025999585,5286,mood_macro avg,0.507452599128473,0.42551185292694726,0.45410946578647016,588,mood_macro avg,0.4902755293452564,0.3986356269787487,0.43276211895982547,653
mood_weighted avg,0.785254589495745,0.5559969731365872,0.6336368575458987,5286,mood_weighted avg,0.8149525323774162,0.5544217687074829,0.6492401667621291,588,mood_weighted avg,0.7962850385571497,0.5513016845329249,0.6426386373266887,653
0.0,0.728448275862069,0.5943728018757327,0.6546158812136862,853,0.0,0.35064935064935066,0.34177215189873417,0.34615384615384615,79,0.0,0.26744186046511625,0.3333333333333333,0.2967741935483871,69
1.0,0.017094017094017096,1.0,0.033613445378151266,2,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1
2.0,0.10353535353535354,0.6119402985074627,0.1771058315334773,67,2.0,0.06818181818181818,0.5,0.12000000000000001,6,2.0,0.10204081632653061,0.3333333333333333,0.15625,15
3.0,0.40153172866520787,0.6199324324324325,0.4873837981407703,592,3.0,0.12745098039215685,0.28888888888888886,0.17687074829931973,45,3.0,0.1415929203539823,0.25806451612903225,0.18285714285714283,62
4.0,0.8524444444444444,0.5822707953855495,0.6919191919191919,3294,4.0,0.732,0.4704370179948586,0.5727699530516431,389,4.0,0.7050359712230215,0.4547563805104408,0.5528913963328632,431
5.0,0.2375,0.475,0.3166666666666667,200,5.0,0.06666666666666667,0.1,0.08,30,5.0,0.20408163265306123,0.2857142857142857,0.23809523809523808,35
6.0,0.26900584795321636,0.49640287769784175,0.34892541087231355,278,6.0,0.10526315789473684,0.15384615384615385,0.125,39,6.0,0.09375,0.15,0.11538461538461538,40
accuracy,0.0,0.0,0.5804010594021944,0,accuracy,0.0,0.0,0.39965986394557823,0,accuracy,0.0,0.0,0.39203675344563554,0
macro avg,0.37279423822204405,0.62570274369986,0.38717574653203674,5286,macro avg,0.20717313911210417,0.2649920303755193,0.20297064964354414,588,macro avg,0.21627760014595881,0.25931454986006075,0.2203217980311781,653
weighted avg,0.7181762854960648,0.5804010594021944,0.6239818934006365,5286,weighted avg,0.5522090933434207,0.39965986394557823,0.4525643694842047,588,weighted avg,0.5260738475021705,0.39203675344563554,0.4370646584688569,653
mood_0.0,0.04421768707482993,0.6074766355140186,0.08243500317057703,107,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.6294067067927773,0.6784059314179796,0.6529884032114184,1079,mood_1.0,0.6641221374045801,0.696,0.6796874999999999,125,mood_1.0,0.625,0.6716417910447762,0.6474820143884893,134
mood_2.0,0.39361702127659576,0.4983164983164983,0.4398216939078752,297,mood_2.0,0.475,0.48717948717948717,0.4810126582278481,39,mood_2.0,0.45652173913043476,0.39622641509433965,0.42424242424242425,53
mood_3.0,0.8748353096179183,0.5237970023665527,0.6552631578947368,3803,mood_3.0,0.8906882591093117,0.5188679245283019,0.6557377049180327,424,mood_3.0,0.8865248226950354,0.5364806866952789,0.6684491978609626,466
mood_accuracy,0.0,0.0,0.5804010594021944,0,mood_accuracy,0.0,0.0,0.39965986394557823,0,mood_accuracy,0.0,0.0,0.39203675344563554,0
mood_macro avg,0.4855191811905304,0.5769990169037623,0.4576270645461518,5286,mood_macro avg,0.507452599128473,0.42551185292694726,0.45410946578647016,588,mood_macro avg,0.4920116404563676,0.4010872232085987,0.435043409122969,653
mood_weighted avg,0.7808861269282076,0.5556186152099886,0.6310987258737599,5286,mood_weighted avg,0.8149525323774162,0.5544217687074829,0.6492401667621291,588,mood_weighted avg,0.7979574571972426,0.552833078101072,0.6443258263646472,653
0.0,0.742816091954023,0.6312576312576312,0.6825082508250825,819,0.0,0.4025974025974026,0.2818181818181818,0.3315508021390374,110,0.0,0.36046511627906974,0.2743362831858407,0.31155778894472363,113
1.0,0.05982905982905983,0.875,0.112,8,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2
2.0,0.1717171717171717,0.5714285714285714,0.2640776699029126,119,2.0,0.11363636363636363,0.3333333333333333,0.16949152542372878,15,2.0,0.10204081632653061,0.3333333333333333,0.15625,15
3.0,0.48468271334792123,0.6763358778625954,0.5646908859145953,655,3.0,0.13725490196078433,0.2978723404255319,0.18791946308724833,47,3.0,0.1504424778761062,0.25,0.18784530386740333,68
4.0,0.8613333333333333,0.629016553067186,0.7270680922903769,3081,4.0,0.672,0.48,0.5599999999999999,350,4.0,0.6474820143884892,0.4699738903394256,0.5446293494704991,383
5.0,0.3425,0.5502008032128514,0.4221879815100154,249,5.0,0.06666666666666667,0.08571428571428572,0.075,35,5.0,0.22448979591836735,0.2391304347826087,0.23157894736842108,46
6.0,0.36062378167641324,0.5211267605633803,0.4262672811059907,355,6.0,0.08771929824561403,0.16129032258064516,0.11363636363636363,31,6.0,0.0625,0.15384615384615385,0.08888888888888889,26
accuracy,0.0,0.0,0.6233446840711313,0,accuracy,0.0,0.0,0.3843537414965986,0,accuracy,0.0,0.0,0.37978560490045943,0
macro avg,0.4319288788368461,0.636338028198888,0.4569714516498533,5286,macro avg,0.2114106618724045,0.23428978055313968,0.205371164898054,588,macro avg,0.2210600315412233,0.2458028707839089,0.21725003979141944,653
weighted avg,0.7214942253048308,0.6233446840711313,0.6541268473237838,5286,weighted avg,0.4977786933866734,0.3843537414965986,0.42515799856203734,588,weighted avg,0.4784539065896544,0.37978560490045943,0.4163553512266414,653
mood_0.0,0.0326530612244898,0.5714285714285714,0.061776061776061784,84,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.646603611349957,0.6714285714285714,0.6587823039859834,1120,mood_1.0,0.6793893129770993,0.644927536231884,0.6617100371747212,138,mood_1.0,0.6527777777777778,0.6266666666666667,0.6394557823129251,150
mood_2.0,0.30851063829787234,0.4603174603174603,0.3694267515923567,252,mood_2.0,0.4,0.6153846153846154,0.4848484848484849,26,mood_2.0,0.30434782608695654,0.3783783783783784,0.3373493975903615,37
