train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.08333333333333333,0.05989110707803993,0.06969376979936642,551,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.38840262582056895,0.1860587002096436,0.2515946137491141,1908,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.26755555555555555,0.4157458563535912,0.32558139534883723,1448,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.23196881091617932,0.08698830409356725,0.12652844231791602,1368,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.13875147508937674,0.10695485253354886,0.11048546017360483,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.2822063288895365,0.20979947029890275,0.2200106999146398,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9982222222222222,0.4255399772641152,0.5967056323060573,5278,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1426031746031746,0.060791425323445024,0.0852436617580082,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9967114810610838,0.4248959515701854,0.5958025590827413,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.0014367816091954023,0.3333333333333333,0.002861230329041488,3,0.0,0.0,0.0,0,0.011627906976744186,1.0,0.022988505747126436,1
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9986666666666667,0.42661856844503515,0.5978448849274978,5267,1.0,0.42735042735042733,0.5988023952095808,585,1.0,0.4263803680981595,0.5978494623655913,652
5.0,0.0075,0.1875,0.014423076923076922,16,0.022222222222222223,0.3333333333333333,0.04166666666666667,3,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1439433497536946,0.13535027168262406,0.0878755988828023,5286,0.146031746031746,0.10866910866910866,0.09149558026803535,588,0.14451827242524917,0.2037686240140228,0.08869113830181682,653
weighted avg,0.9951005757998791,0.4258418463866818,0.5957412716297553,5286,0.9950113378684808,0.4268707482993197,0.595959865982321,588,0.9984864133338082,0.42725880551301687,0.596969123994047,653
0.0,0.021551724137931036,0.35714285714285715,0.04065040650406505,42,0.012987012987012988,0.25,0.02469135802469136,4,0.011627906976744186,0.25,0.02222222222222222,4
1.0,0.19658119658119658,0.12234042553191489,0.15081967213114753,188,0.0,0.0,0.0,8,0.0,0.0,0.0,12
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9764444444444444,0.46794462193823216,0.6326853851691865,4695,0.968,0.4336917562724014,0.599009900990099,558,0.960431654676259,0.4427860696517413,0.6061293984108966,603
5.0,0.23,0.2548476454293629,0.24178712220762158,361,0.022222222222222223,0.05555555555555555,0.031746031746031744,18,0.16326530612244897,0.23529411764705882,0.19277108433734938,34
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.2035110521662246,0.17175365000605242,0.15227751228743153,5286,0.14331560502989074,0.10560675883256529,0.09363532725154601,588,0.1621892668250646,0.13258288389982859,0.11730324356720975,653
weighted avg,0.890143606514893,0.44021944759742715,0.584147644706793,5286,0.9193808640339253,0.41496598639455784,0.5695879570680316,588,0.895463736302993,0.4226646248085758,0.5698914747291416,653
0.0,0.021551724137931036,0.3333333333333333,0.04048582995951417,45,0.05194805194805195,0.5714285714285714,0.09523809523809525,7,0.03488372093023256,0.21428571428571427,0.06,14
1.0,0.49572649572649574,0.14463840399002495,0.223938223938224,401,0.0,0.0,0.0,13,0.07142857142857142,0.05555555555555555,0.0625,18
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.98,0.5060821666284141,0.6674738913273801,4357,0.84,0.4421052631578947,0.5793103448275863,475,0.8273381294964028,0.4423076923076923,0.5764411027568922,520
5.0,0.315,0.2608695652173913,0.2853907134767837,483,0.13333333333333333,0.06451612903225806,0.08695652173913043,93,0.2857142857142857,0.13861386138613863,0.18666666666666668,101
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.25889688855206094,0.17784620988130911,0.1738983798145574,5286,0.14646876932591218,0.15400713765981774,0.10878642311497314,588,0.17419495822421321,0.1215375462193001,0.12651539563193698,653
weighted avg,0.8743399834227265,0.4547862277714718,0.5935770997484086,5286,0.700278293135436,0.3741496598639456,0.4828674098324988,588,0.7057382183369216,0.37978560490045943,0.4909153242984951,653
0.0,0.021551724137931036,0.2631578947368421,0.0398406374501992,57,0.07792207792207792,0.25,0.1188118811881188,24,0.0,0.0,0.0,14
1.0,0.5470085470085471,0.2318840579710145,0.32569974554707376,276,0.0,0.0,0.0,23,0.07142857142857142,0.03225806451612903,0.044444444444444446,31
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9795555555555555,0.5312123403229694,0.6888576340053133,4149,0.72,0.44776119402985076,0.5521472392638037,402,0.7482014388489209,0.44731182795698926,0.5598923283983849,465
5.0,0.4875,0.24253731343283583,0.3239202657807309,804,0.13333333333333333,0.04316546762589928,0.06521739130434782,139,0.30612244897959184,0.1048951048951049,0.15625000000000003,143
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.29080226095743333,0.18125594378052315,0.1969026118261882,5286,0.1330364873222016,0.10584666595082141,0.10516807310803862,588,0.16082177989386917,0.08349499962403188,0.10865525326326132,653
weighted avg,0.8717988662978094,0.46878547105561863,0.6073905151875532,5286,0.5269446653120122,0.32653061224489793,0.39775491959841547,588,0.6032212327459656,0.3430321592649311,0.4350252074778358,653
0.0,0.05172413793103448,0.3673469387755102,0.09068010075566751,98,0.06493506493506493,0.18518518518518517,0.09615384615384616,27,0.06976744186046512,0.2222222222222222,0.10619469026548672,27
1.0,0.4700854700854701,0.28350515463917525,0.3536977491961415,194,0.0,0.0,0.0,10,0.07142857142857142,0.08333333333333333,0.07692307692307691,12
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9862222222222222,0.5485784919653893,0.7050039714058777,4045,0.744,0.45036319612590797,0.5610859728506787,413,0.7589928057553957,0.4518201284796574,0.5664429530201344,467
5.0,0.57,0.24025289778714437,0.3380281690140845,949,0.17777777777777778,0.057971014492753624,0.08743169398907104,138,0.3673469387755102,0.12244897959183673,0.1836734693877551,147
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.29686169003410384,0.20566906902388846,0.2124871414816816,5286,0.14095897753040612,0.09907419940054954,0.10638164471337085,588,0.18107653683142036,0.1256892376610071,0.13331916994235044,653
weighted avg,0.8752297456683146,0.4801362088535755,0.6148380268538116,5286,0.5672764967458845,0.33843537414965985,0.4190310108911156,588,0.6296944932238059,0.3614088820826952,0.4522499121296291,653
0.0,0.09339080459770115,0.38235294117647056,0.15011547344110854,170,0.16883116883116883,0.203125,0.18439716312056736,64,0.05813953488372093,0.15625,0.08474576271186442,32
1.0,0.36752136752136755,0.46236559139784944,0.4095238095238095,93,0.0,0.0,0.0,4,0.07142857142857142,0.09090909090909091,0.08,11
2.0,0.005050505050505051,0.6666666666666666,0.010025062656641605,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9897777777777778,0.5588456712672522,0.7143544506816358,3985,0.724,0.44254278728606355,0.5493171471927162,409,0.7661870503597122,0.44654088050314467,0.5642384105960264,477
5.0,0.75,0.2904162633107454,0.41870202372644794,1033,0.1111111111111111,0.045454545454545456,0.06451612903225805,110,0.30612244897959184,0.11627906976744186,0.16853932584269662,129
6.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,4
macro avg,0.31510577927819305,0.33723530483128344,0.24324583143280623,5286,0.14342032570604,0.098731761820087,0.11403291990650592,588,0.17169680080737093,0.11571129159709678,0.1282176427357982,653
weighted avg,0.9022106545442097,0.4988649262202043,0.6323982399611071,5286,0.5427609133119337,0.33843537414965985,0.4142328330528667,588,0.6242070418712763,0.35834609494640124,0.450957364923112,653
0.0,0.14511494252873564,0.36330935251798563,0.2073921971252567,278,0.2077922077922078,0.20253164556962025,0.20512820512820512,79,0.13953488372093023,0.19047619047619047,0.16107382550335567,63
