train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.004310344827586207,0.0967741935483871,0.008253094910591471,31,0.05194805194805195,0.26666666666666666,0.08695652173913043,15,0.05813953488372093,0.3333333333333333,0.09900990099009901,15
1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0010940919037199124,0.25,0.002178649237472767,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9933333333333333,0.42620137299771166,0.5964771817453963,5244,0.992,0.4328097731239092,0.6026731470230863,573,0.9784172661870504,0.4263322884012539,0.593886462882096,638
5.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1426768242949485,0.11042508093515697,0.08670127512763723,5286,0.14913543599257886,0.099925205684368,0.0985185241088881,588,0.1480795430101102,0.10852366024779816,0.098985194838885,653
weighted avg,0.98546689312472,0.42357169882709045,0.5917879117692085,5286,0.9680190829578583,0.42857142857142855,0.5895171106638016,588,0.9572776552076477,0.4241960183767228,0.5825187011234744,653
0.0,0.3232758620689655,0.3515625,0.33682634730538924,640,0.36363636363636365,0.2616822429906542,0.30434782608695654,107,0.29069767441860467,0.20161290322580644,0.2380952380952381,124
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.94,0.4552303056392596,0.613399071925754,4646,0.86,0.446985446985447,0.5882352941176471,481,0.8561151079136691,0.4499054820415879,0.5898389095415117,529
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1804679802955665,0.1152561150913228,0.1357464884615919,5286,0.1748051948051948,0.10123824142515732,0.12751187431494337,588,0.1638303974760391,0.0930740550381992,0.11827630680524999,653
weighted avg,0.8653304108445209,0.4426787741203178,0.5799131574806097,5286,0.7696753246753246,0.413265306122449,0.5365754997651235,588,0.7487464069130748,0.40275650842266464,0.5230453180264459,653
0.0,0.6005747126436781,0.383134738771769,0.46782316731952994,1091,0.5324675324675324,0.25308641975308643,0.34309623430962344,162,0.5348837209302325,0.233502538071066,0.3250883392226148,197
