train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.008620689655172414,0.2,0.01652892561983471,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.005050505050505051,0.14285714285714285,0.00975609756097561,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.007658643326039387,0.3888888888888889,0.015021459227467811,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9897777777777778,0.42654663857498565,0.5961718645428993,5221,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1444439451156421,0.16547038147443108,0.09106833527873963,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.97769522533447,0.42413923571698825,0.5890117563713622,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.0028735632183908046,0.3333333333333333,0.005698005698005697,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.5853391684901532,0.4944547134935305,0.5360721442885772,1082,0.8137254901960784,0.48823529411764705,0.6102941176470588,170,0.7433628318584071,0.46408839779005523,0.5714285714285714,181
4.0,0.9595555555555556,0.514292520247737,0.6696650124069479,4198,0.94,0.562200956937799,0.7035928143712575,418,0.9316546762589928,0.548728813559322,0.6906666666666667,472
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.22110975532344282,0.19172579529637154,0.17306216605621869,5286,0.25053221288515404,0.15006232157934946,0.18769813314547376,588,0.23928821544534284,0.14468817304991102,0.18029931972789118,653
weighted avg,0.8818706855671355,0.5100264850548619,0.6415660178279976,5286,0.9034920634920635,0.5408163265306123,0.6766187013727647,588,0.8794635218386161,0.5252679938744257,0.6576159848319113,653
0.0,0.4339080459770115,0.5016611295681063,0.4653312788906009,602,0.6363636363636364,0.494949494949495,0.5568181818181819,99,0.6162790697674418,0.5047619047619047,0.5549738219895287,105
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.6673960612691466,0.496742671009772,0.5695611577964519,1228,0.8137254901960784,0.48823529411764705,0.6102941176470588,170,0.7433628318584071,0.46408839779005523,0.5714285714285714,181
4.0,0.9235555555555556,0.6012731481481481,0.7283561163687347,3456,0.896,0.7021943573667712,0.7873462214411249,319,0.8848920863309353,0.670299727520436,0.7627906976744186,367
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
