train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.02586206896551724,0.21951219512195122,0.04627249357326478,82,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.009846827133479213,0.14754098360655737,0.018461538461538463,61,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9751111111111112,0.426682224815247,0.5936147186147186,5142,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14440285817287252,0.11339077193482223,0.09404982152136025,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9490621792364071,0.42016647748770336,0.5783744573280447,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.2614942528735632,0.33579335793357934,0.2940226171243942,542,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9302222222222222,0.44118887015177066,0.5985130111524164,4744,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.17024521072796933,0.11099746115505,0.1275050897538301,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.8616542011501501,0.43038214150586457,0.5672920891767849,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.375,0.3291298865069357,0.3505708529214238,793,0.5844155844155844,0.36,0.44554455445544555,125,0.46511627906976744,0.3007518796992481,0.36529680365296807,133
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9017777777777778,0.45159136434453595,0.6018092837016165,4493,0.88,0.47516198704103674,0.6171107994389902,463,0.8705035971223022,0.4653846153846154,0.606516290726817,520
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1823968253968254,0.11153160726449594,0.13605430523186288,5286,0.20920222634508348,0.11930885529157667,0.1518079076992051,588,0.19080283945600995,0.10944807072626621,0.13883044205425502,653
weighted avg,0.8227511455837223,0.43321982595535374,0.5641187661819999,5286,0.8171631769590953,0.45068027210884354,0.5806383834135768,588,0.7879361954362576,0.4318529862174579,0.5573858285816073,653
0.0,0.47844827586206895,0.3171428571428571,0.38144329896907214,1050,0.5844155844155844,0.36,0.44554455445544555,125,0.46511627906976744,0.3007518796992481,0.36529680365296807,133
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.8724444444444445,0.4634088762983947,0.6053037311131668,4236,0.88,0.47516198704103674,0.6171107994389902,463,0.8705035971223022,0.4653846153846154,0.606516290726817,520
