train_label,train_precision,train_recall,train_f1-score,train_support,valid_label,valid_precision,valid_recall,valid_f1-score,valid_support,test_label,test_precision,test_recall,test_f1-score,test_support
0.0,0.0028735632183908046,0.10526315789473684,0.005594405594405594,19,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.016411378555798686,0.18518518518518517,0.03015075376884422,81,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,0.9768888888888889,0.425803951956606,0.5930922827846735,5162,4.0,1.0,0.42517006802721086,0.5966587112171837,588,4.0,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.005,0.15384615384615385,0.009685230024213076,13,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.4194097616345062,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.14302483295186835,0.1242997784118117,0.09121752459601949,5286,macro avg,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,macro avg,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9542469473720419,0.4194097616345062,0.5796853530999565,5286,weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,weighted avg,1.0,0.42572741194486985,0.5972073039742213,653
mood_0.0,0.02234258632362898,0.3333333333333333,0.04187817258883249,99,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.0017271157167530224,0.16666666666666666,0.003418803418803419,12,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.10655737704918032,0.09285714285714286,0.09923664122137404,420,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.9067833698030635,0.435751840168244,0.5886363636363636,4755,mood_3.0,1.0,0.41836734693877553,0.5899280575539569,588,mood_3.0,1.0,0.4211332312404288,0.5926724137931034,653
mood_accuracy,0.0,0.0,0.4194097616345062,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.2593526122231565,0.2571522457563467,0.1832924952163434,5286,mood_macro avg,0.25,0.10459183673469388,0.14748201438848924,588,mood_macro avg,0.25,0.1052833078101072,0.14816810344827586,653
mood_weighted avg,0.8245822291352369,0.40597805524025726,0.5381824182995093,5286,mood_weighted avg,1.0,0.41836734693877553,0.5899280575539569,588,mood_weighted avg,1.0,0.4211332312404288,0.5926724137931034,653
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
4.0,1.0,0.42565266742338254,0.5971337579617835,5286,4.0,1.0,0.42517006802721086,0.5966587112171837,588,4.0,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0
accuracy,0.0,0.0,0.42565266742338254,0,accuracy,0.0,0.0,0.42517006802721086,0,accuracy,0.0,0.0,0.42572741194486985,0
macro avg,0.14285714285714285,0.060807523917626075,0.08530482256596907,5286,macro avg,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,macro avg,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,1.0,0.42565266742338254,0.5971337579617835,5286,weighted avg,1.0,0.42517006802721086,0.5966587112171837,588,weighted avg,1.0,0.42572741194486985,0.5972073039742213,653
mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0,mood_0.0,0.0,0.0,0.0,0
mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0,mood_1.0,0.0,0.0,0.0,0
mood_2.0,0.0,0.0,0.0,2,mood_2.0,0.0,0.0,0.0,0,mood_2.0,0.0,0.0,0.0,0
mood_3.0,0.9991247264770241,0.43205904617713853,0.6032500990883868,5284,mood_3.0,1.0,0.41836734693877553,0.5899280575539569,588,mood_3.0,1.0,0.4211332312404288,0.5926724137931034,653
mood_accuracy,0.0,0.0,0.42565266742338254,0,mood_accuracy,0.0,0.0,0.42517006802721086,0,mood_accuracy,0.0,0.0,0.42572741194486985,0
mood_macro avg,0.24978118161925603,0.10801476154428463,0.1508125247720967,5286,mood_macro avg,0.25,0.10459183673469388,0.14748201438848924,588,mood_macro avg,0.25,0.1052833078101072,0.14816810344827586,653
mood_weighted avg,0.998746699717101,0.4318955732122588,0.6030218546316753,5286,mood_weighted avg,1.0,0.41836734693877553,0.5899280575539569,588,mood_weighted avg,1.0,0.4211332312404288,0.5926724137931034,653
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0
