train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.0014367816091954023,0.0625,0.0028089887640449437,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0032822757111597373,0.16666666666666666,0.006437768240343348,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9933333333333333,0.42660813132277153,0.5968754172786754,5239,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.003898635477582846,0.15384615384615385,0.007604562737642585,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14313586087589592,0.11566013597651315,0.08767524814581518,5286,0.14285714285714285,0.06073858114674441,0.08523695874531197,588,0.14285714285714285,0.06081820170640998,0.08531532913917447,653
weighted avg,0.9845263119680457,0.42395005675368896,0.5916174790176165,5286,1.0,0.42517006802721086,0.5966587112171837,588,1.0,0.42572741194486985,0.5972073039742213,653
0.0,0.027298850574712645,0.30158730158730157,0.05006587615283268,63,0.12987012987012986,0.5263157894736842,0.20833333333333334,19,0.05813953488372093,0.38461538461538464,0.10101010101010101,13
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9915555555555555,0.42714914799923415,0.5970828315268298,5223,0.98,0.4305799648506151,0.5982905982905982,569,0.9784172661870504,0.425,0.5925925925925926,640
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14555062944718117,0.10410520708379081,0.09244981538280893,5286,0.15855287569573284,0.1366993934748999,0.11523199023199023,588,0.1480795430101102,0.11565934065934066,0.09908609908609908,653
weighted avg,0.980063279275988,0.42565266742338254,0.5905633331937685,5286,0.9525298171216539,0.4336734693877551,0.5856899383685096,588,0.9600962700049014,0.4241960183767228,0.5828061111368921,653
0.0,0.40373563218390807,0.37617135207496655,0.3894663894663895,747,0.4675324675324675,0.2926829268292683,0.36,123,0.4883720930232558,0.28187919463087246,0.35744680851063826,149
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.010940919037199124,0.4166666666666667,0.021321961620469083,24,0.0196078431372549,1.0,0.038461538461538464,2,0.02654867256637168,0.6,0.05084745762711864,5
4.0,0.932,0.46445182724252493,0.6199556541019956,4515,0.848,0.45788336933045354,0.5946704067321178,463,0.8165467625899281,0.45490981963927857,0.5842985842985843,499
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.19238236446015816,0.17961283514059403,0.14724914359840774,5286,0.19073433009567461,0.25008089945138884,0.14187599217052232,588,0.19020964688279365,0.19096985918145012,0.14179897863376303,653
weighted avg,0.8531655503780312,0.4517593643586833,0.5846657015287163,5286,0.7655947435251156,0.42517006802721086,0.5436893220984584,588,0.7356156504681027,0.4165390505359878,0.5284514629727629,653
0.0,0.7011494252873564,0.4420289855072464,0.5422222222222223,1104,0.37662337662337664,0.2543859649122807,0.30366492146596863,114,0.36046511627906974,0.2540983606557377,0.2980769230769231,122
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.15317286652078774,0.46204620462046203,0.23007395234182412,303,0.13725490196078433,0.3333333333333333,0.19444444444444448,42,0.1504424778761062,0.29310344827586204,0.19883040935672516,58
4.0,0.9004444444444445,0.5379713223579394,0.6735372340425533,3766,0.732,0.4552238805970149,0.5613496932515338,402,0.7050359712230215,0.45057471264367815,0.5497896213183731,435
5.0,0.0075,0.17647058823529413,0.01438848920863309,17,0.0,0.0,0.0,5,0.02040816326530612,0.25,0.037735849056603765,4
6.0,0.050682261208576995,0.2765957446808511,0.085667215815486,94,0.07017543859649122,0.16,0.09756097560975609,25,0.03125,0.058823529411764705,0.04081632653061224,34
macro avg,0.25899271392302364,0.27073040648597047,0.22084130194724552,5286,0.1880076738829503,0.17184902554894696,0.16528857639595756,588,0.1810859612347862,0.1866571501410061,0.16074987561989104,653
weighted avg,0.7976628366258841,0.5075671585319712,0.6078630887060849,5286,0.5862553686774322,0.391156462585034,0.4606905931822238,588,0.5521243308391061,0.3782542113323124,0.44195211658473843,653
0.0,0.8089080459770115,0.5429122468659595,0.6497403346797461,1037,0.2727272727272727,0.23863636363636365,0.2545454545454545,88,0.313953488372093,0.3068181818181818,0.31034482758620696,88
1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.020202020202020204,0.3076923076923077,0.037914691943127965,26,0.022727272727272728,0.1111111111111111,0.03773584905660377,9,0.0,0.0,0.0,9
3.0,0.3435448577680525,0.6097087378640776,0.4394681595521343,515,0.13725490196078433,0.35,0.1971830985915493,40,0.1504424778761062,0.29310344827586204,0.19883040935672516,58
4.0,0.9008888888888889,0.6372209996856334,0.7464555330510034,3181,0.716,0.45202020202020204,0.5541795665634675,396,0.697841726618705,0.45011600928074247,0.547249647390691,431
5.0,0.0375,0.30612244897959184,0.066815144766147,49,0.0,0.0,0.0,3,0.0,0.0,0.0,9
6.0,0.3060428849902534,0.32914046121593293,0.31717171717171716,477,0.12280701754385964,0.1346153846153846,0.12844036697247704,52,0.078125,0.08620689655172414,0.0819672131147541,58
macro avg,0.3452980996894609,0.39039960032907184,0.32250936873769653,5286,0.18164520927988417,0.18376900876900876,0.167440619389936,588,0.17719467040955775,0.1623206479895015,0.1626274424926253,653
weighted avg,0.7623601985716736,0.583427922814983,0.6489089127965304,5286,0.543565827287853,0.37755102040816324,0.4366682891613492,588,0.523207664419939,0.3721286370597244,0.42796509181672265,653
0.0,0.867816091954023,0.6446104589114194,0.739742804654011,937,0.2597402597402597,0.23255813953488372,0.24539877300613497,86,0.29069767441860467,0.2840909090909091,0.28735632183908044,88
1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.10353535353535354,0.328,0.15738963531669867,125,0.06818181818181818,0.1,0.08108108108108107,30,0.0,0.0,0.0,18
3.0,0.5109409190371991,0.6633522727272727,0.5772558714462298,704,0.21568627450980393,0.3235294117647059,0.2588235294117647,68,0.22123893805309736,0.2840909090909091,0.2487562189054727,88
4.0,0.8964444444444445,0.7206145051804216,0.7989700930877401,2799,0.612,0.4526627218934911,0.5204081632653061,338,0.6258992805755396,0.46524064171123,0.5337423312883437,374
5.0,0.07,0.3333333333333333,0.11570247933884298,84,0.0,0.0,0.0,4,0.0,0.0,0.0,10
6.0,0.4873294346978557,0.39308176100628933,0.4351610095735422,636,0.12280701754385964,0.11290322580645161,0.1176470588235294,62,0.140625,0.12,0.12949640287769784,75
macro avg,0.41943803480983943,0.44042747587981956,0.40346027048815214,5286,0.18263076713939164,0.1745219284285046,0.17476551508397375,588,0.18263727043532021,0.16477463712757828,0.17133589641579924,653
weighted avg,0.75875095059078,0.6445327279606508,0.6889896985961714,5286,0.43115615414541303,0.3486394557823129,0.3815115709892727,588,0.4436196444605843,0.3568147013782542,0.39281740536476045,653
0.0,0.8936781609195402,0.7124856815578465,0.7928616953473551,873,0.19480519480519481,0.234375,0.2127659574468085,64,0.2558139534883721,0.3235294117647059,0.28571428571428575,68
1.0,0.017094017094017096,0.6666666666666666,0.03333333333333333,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.2297979797979798,0.4396135265700483,0.3018242122719735,207,0.045454545454545456,0.08,0.057971014492753624,25,0.0,0.0,0.0,18
3.0,0.6575492341356673,0.7356181150550796,0.6943963027151935,817,0.21568627450980393,0.28205128205128205,0.24444444444444446,78,0.24778761061946902,0.24347826086956523,0.2456140350877193,115
4.0,0.9128888888888889,0.783072817384674,0.8430125179560846,2623,0.556,0.43302180685358255,0.4868651488616463,321,0.5971223021582733,0.4623955431754875,0.521193092621664,359
5.0,0.1325,0.42063492063492064,0.20152091254752855,126,0.044444444444444446,0.2222222222222222,0.07407407407407407,9,0.02040816326530612,0.07692307692307693,0.03225806451612903,13
6.0,0.5847953216374269,0.47095761381475665,0.5217391304347826,637,0.17543859649122806,0.10989010989010989,0.13513513513513511,91,0.140625,0.1125,0.125,80
macro avg,0.4897576574962172,0.604149905954856,0.4840983006580359,5286,0.17597557938645952,0.19450863157388523,0.17303653920783743,588,0.18025100421877435,0.1741180418189765,0.17282563970568546,653
weighted avg,0.7848534616117404,0.7043132803632236,0.7361008223540688,5286,0.38310941802102483,0.3231292517006803,0.3458854422689348,588,0.41619163346970495,0.3460949464012251,0.3755005521493816,653
0.0,0.9008620689655172,0.76,0.824457593688363,825,0.19480519480519481,0.2727272727272727,0.22727272727272727,55,0.19767441860465115,0.265625,0.22666666666666663,64
1.0,0.008547008547008548,0.25,0.01652892561983471,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.2803030303030303,0.502262443438914,0.35980551053484605,221,0.11363636363636363,0.07936507936507936,0.09345794392523364,63,0.02040816326530612,0.0196078431372549,0.02,51
3.0,0.7319474835886215,0.7907801418439716,0.7602272727272729,846,0.21568627450980393,0.2857142857142857,0.2458100558659218,77,0.21238938053097345,0.23529411764705882,0.22325581395348837,102
4.0,0.9284444444444444,0.8260181890075129,0.8742414731115297,2529,0.428,0.4385245901639344,0.43319838056680154,244,0.4568345323741007,0.4635036496350365,0.4601449275362319,274
5.0,0.16,0.4129032258064516,0.23063063063063066,155,0.044444444444444446,0.1,0.061538461538461535,20,0.04081632653061224,0.10526315789473684,0.0588235294117647,19
6.0,0.6686159844054581,0.48583569405099153,0.5627563576702216,706,0.19298245614035087,0.08527131782945736,0.11827956989247312,129,0.296875,0.13286713286713286,0.18357487922705315,143
macro avg,0.5255314314648686,0.5753999563068346,0.5183782519975283,5286,0.16993639050516537,0.18022893511428997,0.16850816272308844,588,0.17499968875794908,0.17459441445446,0.16749511668502923,653
weighted avg,0.8076615249212896,0.7385546727203935,0.7655927625449934,5286,0.2800966760061661,0.2755102040816326,0.2712660941737475,588,0.3120321485543228,0.29096477794793263,0.29364061963727744,653
0.0,0.9224137931034483,0.8045112781954887,0.8594377510040161,798,0.22077922077922077,0.2698412698412698,0.24285714285714283,63,0.26744186046511625,0.2839506172839506,0.27544910179640714,81
1.0,0.06837606837606838,0.8,0.12598425196850396,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.3686868686868687,0.5289855072463768,0.43452380952380953,276,0.1590909090909091,0.0958904109589041,0.11965811965811964,73,0.04081632653061224,0.0392156862745098,0.04,51
3.0,0.8052516411378556,0.832579185520362,0.8186874304783093,884,0.17647058823529413,0.28125,0.21686746987951808,64,0.22123893805309736,0.2777777777777778,0.24630541871921183,90
4.0,0.9324444444444444,0.8626644736842105,0.8961982058949168,2432,0.432,0.43373493975903615,0.43286573146292584,249,0.460431654676259,0.45390070921985815,0.4571428571428572,282
5.0,0.2625,0.4393305439330544,0.3286384976525822,239,0.022222222222222223,0.043478260869565216,0.029411764705882353,23,0.0,0.0,0.0,21
6.0,0.6783625730994152,0.5378670788253478,0.6000000000000001,647,0.22807017543859648,0.11206896551724138,0.15028901734104047,116,0.21875,0.109375,0.14583333333333334,128
macro avg,0.5768621984068715,0.6865625810578343,0.5804957066460197,5286,0.1769475879666061,0.17660912099228807,0.17027846370066133,588,0.17266839710358356,0.1663171129365852,0.16639010157025846,653
